id;name;categoryId;priorityScore;targetSalePrice;targetMargin;status;blockers;nextAction;image
integration_articles_20260612_trousse-premiers-soins-vide-voyage;Trousse premiers soins vide voyage;dropshipping-accessoires;87;12.90 EUR;9.30 EUR (72%);HOLD_READY_FOR_MANUAL_SOURCING;;"Chercher fournisseur Europe/France avec lot exact, photos propres et livraison suivie.";/uploads/category-images/accessoires.webp
integration_articles_20260612_gourde-chien-voyage-anti-fuite;Gourde chien voyage anti fuite;dropshipping-animaux;86;16.90 EUR;10.80 EUR (64%);HOLD_READY_FOR_MANUAL_SOURCING;;"Verifier matiere, usage animal, photos exactes et delai court.";/uploads/category-images/animaux.webp
integration_articles_20260612_lampe-led-placard-rechargeable;Lampe LED placard rechargeable;dropshipping-maison;86;16.90 EUR;10.40 EUR (62%);HOLD_READY_FOR_MANUAL_SOURCING;;"Verifier dimensions, usage reel, photos exactes et delai France/Europe.";/uploads/category-images/maison.webp
integration_articles_20260612_organisateur-frigo-transparent;Organisateur frigo transparent;dropshipping-cuisine;86;15.90 EUR;10.20 EUR (64%);HOLD_READY_FOR_MANUAL_SOURCING;;"Verifier contact matiere, dimensions exactes, quantite vendue et droits image.";/uploads/category-images/cuisine.webp
integration_articles_20260612_range-epices-adhesif-cuisine;Range epices adhesif cuisine;dropshipping-cuisine;86;14.90 EUR;10.10 EUR (68%);HOLD_READY_FOR_MANUAL_SOURCING;;"Verifier contact matiere, dimensions exactes, quantite vendue et droits image.";/uploads/category-images/cuisine.webp
integration_articles_20260612_boite-rangement-cables-bureau;Boite rangement cables bureau;dropshipping-accessoires;85;12.90 EUR;8.70 EUR (67%);HOLD_READY_FOR_MANUAL_SOURCING;;"Chercher fournisseur Europe/France avec lot exact, photos propres et livraison suivie.";/uploads/category-images/accessoires.webp
integration_articles_20260612_organisateur-telecommande-canape;Organisateur telecommande canape;dropshipping-maison;85;14.90 EUR;10.20 EUR (68%);HOLD_READY_FOR_MANUAL_SOURCING;;"Verifier dimensions, usage reel, photos exactes et delai France/Europe.";/uploads/category-images/maison.webp
integration_articles_20260612_mini-humidificateur-usb-bureau;Mini humidificateur USB bureau;dropshipping-high-tech;84;18.90 EUR;12.00 EUR (63%);HOLD_READY_FOR_MANUAL_SOURCING;;"Verifier batterie/norme/cable fourni, stock Europe et photos exactes.";/uploads/category-images/high-tech.webp
integration_articles_20260612_support-tablette-lit-canape;Support tablette lit canape;dropshipping-high-tech;84;18.90 EUR;12.00 EUR (63%);HOLD_READY_FOR_MANUAL_SOURCING;;"Verifier batterie/norme/cable fourni, stock Europe et photos exactes.";/uploads/category-images/high-tech.webp
integration_articles_20260612_tapis-egouttoir-vaisselle-microfibre;Tapis egouttoir vaisselle microfibre;dropshipping-cuisine;84;12.90 EUR;9.10 EUR (71%);HOLD_READY_FOR_MANUAL_SOURCING;;"Verifier contact matiere, dimensions exactes, quantite vendue et droits image.";/uploads/category-images/cuisine.webp
integration_articles_20260612_gant-brossage-animaux-silicone;Gant brossage animaux silicone;dropshipping-animaux;83;12.90 EUR;9.30 EUR (72%);HOLD_READY_FOR_MANUAL_SOURCING;;"Verifier matiere, usage animal, photos exactes et delai court.";/uploads/category-images/animaux.webp
integration_articles_20260612_mini-pompe-air-usb-voyage;Mini pompe air USB voyage;dropshipping-high-tech;83;19.90 EUR;11.70 EUR (59%);HOLD_READY_FOR_MANUAL_SOURCING;;"Verifier batterie/norme/cable fourni, stock Europe et photos exactes.";/uploads/category-images/high-tech.webp
integration_articles_20260612_peigne-demelage-animaux-double-face;Peigne demelage animaux double face;dropshipping-animaux;83;13.90 EUR;9.70 EUR (70%);HOLD_READY_FOR_MANUAL_SOURCING;;"Verifier matiere, usage animal, photos exactes et delai court.";/uploads/category-images/animaux.webp
integration_articles_20260612_pelle-litiere-chat-support;Pelle litiere chat avec support;dropshipping-animaux;83;12.90 EUR;9.30 EUR (72%);HOLD_READY_FOR_MANUAL_SOURCING;;"Verifier matiere, usage animal, photos exactes et delai court.";/uploads/category-images/animaux.webp
integration_articles_20260612_sangle-valise-ajustable-voyage;Sangle valise ajustable voyage;dropshipping-accessoires;83;9.90 EUR;7.60 EUR (77%);HOLD_READY_FOR_MANUAL_SOURCING;;"Chercher fournisseur Europe/France avec lot exact, photos propres et livraison suivie.";/uploads/category-images/accessoires.webp
integration_articles_20260612_support-casque-bureau-adhesif;Support casque bureau adhesif;dropshipping-accessoires;83;9.90 EUR;7.40 EUR (75%);HOLD_READY_FOR_MANUAL_SOURCING;;"Chercher fournisseur Europe/France avec lot exact, photos propres et livraison suivie.";/uploads/category-images/accessoires.webp
integration_articles_20260612_support-ordinateur-portable-pliable;Support ordinateur portable pliable;dropshipping-high-tech;83;19.90 EUR;11.70 EUR (59%);HOLD_READY_FOR_MANUAL_SOURCING;;"Verifier batterie/norme/cable fourni, stock Europe et photos exactes.";/uploads/category-images/high-tech.webp
integration_articles_20260612_attaches-cables-velcro-lot;Attaches cables velcro lot;dropshipping-accessoires;82;8.90 EUR;7.10 EUR (80%);HOLD_READY_FOR_MANUAL_SOURCING;;"Chercher fournisseur Europe/France avec lot exact, photos propres et livraison suivie.";/uploads/category-images/accessoires.webp
integration_articles_20260612_brosse-bouteille-flexible;Brosse bouteille flexible;dropshipping-cuisine;82;10.90 EUR;8.10 EUR (74%);HOLD_READY_FOR_MANUAL_SOURCING;;"Verifier contact matiere, dimensions exactes, quantite vendue et droits image.";/uploads/category-images/cuisine.webp
integration_articles_20260612_grattoir-vitroceramique-cuisine;Grattoir vitroceramique cuisine;dropshipping-cuisine;82;10.90 EUR;7.80 EUR (72%);HOLD_READY_FOR_MANUAL_SOURCING;;"Verifier contact matiere, dimensions exactes, quantite vendue et droits image.";/uploads/category-images/cuisine.webp
integration_articles_20260612_porte-brosse-a-dents-adhesif;Porte brosse a dents adhesif;dropshipping-maison;82;11.90 EUR;8.70 EUR (73%);HOLD_READY_FOR_MANUAL_SOURCING;;"Verifier dimensions, usage reel, photos exactes et delai France/Europe.";/uploads/category-images/maison.webp
integration_articles_20260612_porte-cles-mural-adhesif;Porte cles mural adhesif;dropshipping-maison;82;11.90 EUR;8.60 EUR (72%);HOLD_READY_FOR_MANUAL_SOURCING;;"Verifier dimensions, usage reel, photos exactes et delai France/Europe.";/uploads/category-images/maison.webp
integration_articles_20260612_tapis-repas-chat-silicone;Tapis repas chat silicone;dropshipping-animaux;82;12.90 EUR;9.00 EUR (70%);HOLD_READY_FOR_MANUAL_SOURCING;;"Verifier matiere, usage animal, photos exactes et delai court.";/uploads/category-images/animaux.webp
integration_articles_20260612_brosse-nettoyage-joints-cuisine;Brosse nettoyage joints cuisine;dropshipping-cuisine;81;9.90 EUR;7.30 EUR (74%);HOLD_READY_FOR_MANUAL_SOURCING;;"Verifier contact matiere, dimensions exactes, quantite vendue et droits image.";/uploads/category-images/cuisine.webp
integration_articles_20260612_mini-balai-table-ramasse-miettes;Mini balai table ramasse miettes;dropshipping-cuisine;81;9.90 EUR;7.50 EUR (76%);HOLD_READY_FOR_MANUAL_SOURCING;;"Verifier contact matiere, dimensions exactes, quantite vendue et droits image.";/uploads/category-images/cuisine.webp
integration_articles_20260612_support-telephone-voiture-ventouse;Support telephone voiture ventouse;dropshipping-auto-moto;81;14.90 EUR;9.70 EUR (65%);HOLD_READY_FOR_MANUAL_SOURCING;;"Verifier compatibilite auto, fixation exacte, stock Europe et photos variante.";/uploads/category-images/auto-moto.webp
integration_articles_20260612_diffuseur-voiture-clip-ventilation;Diffuseur voiture clip ventilation;dropshipping-auto-moto;80;11.90 EUR;9.10 EUR (76%);HOLD_READY_FOR_MANUAL_SOURCING;;"Verifier compatibilite auto, fixation exacte, stock Europe et photos variante.";/uploads/category-images/auto-moto.webp
integration_articles_20260612_organisateur-maquillage-transparent;Organisateur maquillage transparent;dropshipping-beaute;80;17.90 EUR;11.10 EUR (62%);HOLD_READY_FOR_MANUAL_SOURCING;;Chercher fournisseur exact et preuves completes.;/uploads/category-images/beaute-sante.webp
integration_articles_20260612_organisateur-sac-main-feutre;Organisateur sac a main feutre;dropshipping-mode;80;15.90 EUR;10.70 EUR (67%);HOLD_READY_FOR_MANUAL_SOURCING;;"Verifier taille, tissu, couleur, conditionnement et photos exactes.";/uploads/category-images/vetements.webp
integration_articles_20260612_porte-savon-drainant-silicone;Porte savon drainant silicone;dropshipping-maison;80;9.90 EUR;7.30 EUR (74%);HOLD_READY_FOR_MANUAL_SOURCING;;"Verifier dimensions, usage reel, photos exactes et delai France/Europe.";/uploads/category-images/maison.webp
integration_articles_20260612_rouleau-adhesif-poils-animaux-lavable;Rouleau adhesif poils animaux lavable;dropshipping-animaux;80;11.90 EUR;8.10 EUR (68%);HOLD_READY_FOR_MANUAL_SOURCING;;"Verifier matiere, usage animal, photos exactes et delai court.";/uploads/category-images/animaux.webp
integration_articles_20260612_sac-filet-linge-delicat-lot;Sac filet linge delicat lot;dropshipping-maison;80;9.90 EUR;7.70 EUR (78%);HOLD_READY_FOR_MANUAL_SOURCING;;"Verifier dimensions, usage reel, photos exactes et delai France/Europe.";/uploads/category-images/maison.webp
integration_articles_20260612_support-eponges-evier-ventouse;Support eponges evier ventouse;dropshipping-cuisine;80;8.90 EUR;7.10 EUR (80%);HOLD_READY_FOR_MANUAL_SOURCING;;"Verifier contact matiere, dimensions exactes, quantite vendue et droits image.";/uploads/category-images/cuisine.webp
integration_articles_20260612_bouchons-evier-silicone-lot;Bouchons evier silicone lot;dropshipping-cuisine;79;7.90 EUR;6.30 EUR (80%);HOLD_READY_FOR_MANUAL_SOURCING;;"Verifier contact matiere, dimensions exactes, quantite vendue et droits image.";/uploads/category-images/cuisine.webp
integration_articles_20260612_coussinets-meubles-anti-rayures;Coussinets meubles anti rayures lot;dropshipping-maison;79;8.90 EUR;7.10 EUR (80%);HOLD_READY_FOR_MANUAL_SOURCING;;"Verifier dimensions, usage reel, photos exactes et delai France/Europe.";/uploads/category-images/maison.webp
integration_articles_20260612_sac-rangement-chaussures-voyage;Sac rangement chaussures voyage;dropshipping-mode;78;13.90 EUR;9.60 EUR (69%);HOLD_READY_FOR_MANUAL_SOURCING;;"Verifier taille, tissu, couleur, conditionnement et photos exactes.";/uploads/category-images/vetements.webp
integration_articles_20260612_miroir-maquillage-led-compact;Miroir maquillage LED compact;dropshipping-beaute;77;14.90 EUR;9.70 EUR (65%);HOLD_READY_FOR_MANUAL_SOURCING;;Chercher fournisseur exact et preuves completes.;/uploads/category-images/beaute-sante.webp
integration_articles_20260612_brosse-ventilation-voiture;Brosse ventilation voiture;dropshipping-auto-moto;76;8.90 EUR;7.00 EUR (79%);HOLD_READY_FOR_MANUAL_SOURCING;;"Verifier compatibilite auto, fixation exacte, stock Europe et photos variante.";/uploads/category-images/auto-moto.webp
integration_articles_20260612_brosse-chaussures-nettoyage-3-en-1;Brosse chaussures nettoyage 3 en 1;dropshipping-mode;74;9.90 EUR;7.50 EUR (76%);HOLD_READY_FOR_MANUAL_SOURCING;;"Verifier taille, tissu, couleur, conditionnement et photos exactes.";/uploads/category-images/vetements.webp
integration_articles_20260612_bandeau-skincare-microfibre;Bandeau skincare microfibre;dropshipping-beaute;72;8.90 EUR;7.00 EUR (79%);HOLD_READY_FOR_MANUAL_SOURCING;;Chercher fournisseur exact et preuves completes.;/uploads/category-images/beaute-sante.webp
integration_articles_20260612_filet-rangement-jouets-bain-enfant;Filet rangement jouets bain enfant;dropshipping-enfant;72;10.90 EUR;7.90 EUR (72%);HOLD_READY_FOR_MANUAL_SOURCING;;Verifier conformite/securite enfant avant toute priorisation.;/uploads/category-images/jouets.webp
integration_articles_20260612_protege-coins-silicone-enfant;Protege coins silicone enfant;dropshipping-enfant;71;10.90 EUR;7.70 EUR (71%);HOLD_READY_FOR_MANUAL_SOURCING;;Verifier conformite/securite enfant avant toute priorisation.;/uploads/category-images/jouets.webp
