id,slug,name,parentId,visible,imageUrl,imageFileName,localPath,exists,isWebp,width,height,bytes,priority,warnings,failures,creativeBrief
"lots-bonnes-affaires","lots-bonnes-affaires","Lots & bonnes affaires","colis-surprise-palettes","false","/uploads/category-images/dropshipping-promotions.webp","dropshipping-promotions.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\dropshipping-promotions.webp","","","","","","P3_REVOIR_UNICITE_VISUELLE","shared_image_asset","","Promotions visuelles propres, etiquettes prix sans marque, ambiance bonnes affaires."
"espace-revendeur","espace-revendeur","Espace revendeur","","true","/uploads/category-images/espace-revendeur.webp","espace-revendeur.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\espace-revendeur.webp","","","","","","P3_REVOIR_UNICITE_VISUELLE","shared_image_asset","","Palettes, cartons en gros, stock professionnel, ambiance entrepot ou revente."
"sport-loisirs","sport-loisirs","Sport & loisirs","","true","/uploads/category-images/sport-loisirs.webp","sport-loisirs.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\sport-loisirs.webp","","","","","","OK","","","Tennis, velo, ballon, fitness, camping et activite exterieure."
"auto-moto","auto-moto","Auto / moto","","true","/uploads/category-images/auto-moto.webp","auto-moto.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\auto-moto.webp","","","","","","P3_REVOIR_UNICITE_VISUELLE","shared_image_asset","","Voiture et moto cote a cote, accessoires auto modernes, lumiere propre."
"animaux","animaux","Animaux","","true","/uploads/category-images/animaux.webp","animaux.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\animaux.webp","","","","","","P3_REVOIR_UNICITE_VISUELLE","shared_image_asset","","Chien, chat et accessoires animalerie propres, ambiance chaleureuse sans marque visible."
"livre-media","livre-media","Livre / média","","true","/uploads/category-images/livre-media.webp","livre-media.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\livre-media.webp","","","","","","OK","","","Livres, mangas, BD, DVD, CD, vinyles ou etagere media clairement reconnaissable."
"jeux-video","jeux-video","Jeux vidéo","","true","/uploads/category-images/jeux-video.webp","jeux-video.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\jeux-video.webp","","","","","","OK","","","Console, manette gaming, setup gaming et accessoires gamer, sans marque lisible."
"puericulture","puericulture","Puériculture","","true","/uploads/category-images/puericulture.webp","puericulture.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\puericulture.webp","","","","","","OK","","","Bebe, poussette, jouets bebe, siege auto et biberons, ambiance douce et rassurante."
"cuisine","cuisine","Cuisine","","true","/uploads/category-images/cuisine.webp","cuisine.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\cuisine.webp","","","","","","P3_REVOIR_UNICITE_VISUELLE","shared_image_asset","","Robot cuisine, ustensiles, vaisselle, mugs et cuisine moderne reconnaissable."
"outillage","outillage","Outillage","","true","/uploads/category-images/outillage.webp","outillage.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\outillage.webp","","","","","","OK","","","Perceuse, outils, caisse a outils et bricolage, visuel solide et net."
"jardin","jardin","Jardin","","true","/uploads/category-images/jardin.webp","jardin.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\jardin.webp","","","","","","OK","","","Plantes, tondeuse, arrosoir, pots et jardin exterieur lumineux."
"beaute-sante","beaute-sante","Beauté / santé","","true","/uploads/category-images/beaute-sante.webp","beaute-sante.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\beaute-sante.webp","","","","","","P3_REVOIR_UNICITE_VISUELLE","shared_image_asset","","Soins, maquillage, parfum, bien-etre et accessoires beaute, rendu lumineux."
"informatique","informatique","Informatique","","true","/uploads/category-images/informatique.webp","informatique.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\informatique.webp","","","","","","OK","","","PC, clavier, setup bureau et composants informatique propres."
"telephonie","telephonie","Téléphonie","","true","/uploads/category-images/telephonie.webp","telephonie.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\telephonie.webp","","","","","","OK","","","Smartphones, accessoires telephone et ecouteurs, rendu moderne sans logo."
"agencement-magasin","agencement-magasin","Agencement magasin","","true","/uploads/category-images/agencement-magasin.webp","agencement-magasin.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\agencement-magasin.webp","","","","","","OK","","","Boutique moderne, rayons propres, organisation magasin et circulation claire."
"mannequins-bustes","mannequins-bustes","Mannequins & bustes","","true","/uploads/category-images/mannequins-bustes.webp","mannequins-bustes.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\mannequins-bustes.webp","","","","","","OK","","","Mannequins vitrine et bustes presentation vetements, rendu magasin professionnel."
"presentoirs","presentoirs","Présentoirs","","true","/uploads/category-images/presentoirs.webp","presentoirs.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\presentoirs.webp","","","","","","OK","","","Rayonnages et presentoirs magasin, mise en avant produits claire."
"mobilier-professionnel","mobilier-professionnel","Mobilier professionnel","","true","/uploads/category-images/mobilier-professionnel.webp","mobilier-professionnel.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\mobilier-professionnel.webp","","","","","","OK","","","Bureau pro, etageres, mobilier commerce ou entrepot, propre et fonctionnel."
"colis-surprise","colis-surprise","Colis surprise","colis-surprise-palettes","false","/uploads/category-images/colis-surprise-palettes.webp","colis-surprise-palettes.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\colis-surprise-palettes.webp","","","","","","P3_REVOIR_UNICITE_VISUELLE","shared_image_asset","","Cartons ouverts, colis mysteres et objets qui debordent, ambiance destockage surprise."
"vetements","vetements","Vêtements","","true","/uploads/category-images/vetements.webp","vetements.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\vetements.webp","","","","","","P3_REVOIR_UNICITE_VISUELLE","shared_image_asset","","Portants vetements, mode homme/femme, ambiance boutique textile."
"maison","maison","Maison","","true","/uploads/category-images/maison.webp","maison.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\maison.webp","","","","","","P3_REVOIR_UNICITE_VISUELLE","shared_image_asset","","Pieces maison, rangement et confort interieur, ambiance claire et utile."
"deco","deco","Déco","","true","/uploads/category-images/deco.webp","deco.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\deco.webp","","","","","","OK","","","Salon moderne, decoration interieure, ambiance maison design et claire."
"high-tech","high-tech","High-tech","","true","/uploads/category-images/high-tech.webp","high-tech.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\high-tech.webp","","","","","","P3_REVOIR_UNICITE_VISUELLE","shared_image_asset","","Ecrans, ordinateurs, objets connectes et technologie moderne, sans logo visible."
"accessoires","accessoires","Accessoires","","true","/uploads/category-images/accessoires.webp","accessoires.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\accessoires.webp","","","","","","P3_REVOIR_UNICITE_VISUELLE","shared_image_asset","","Sacs, montres, bijoux et accessoires mode varies, rendu boutique premium leger."
"jouets","jouets","Jouets","","true","/uploads/category-images/jouets.webp","jouets.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\jouets.webp","","","","","","P3_REVOIR_UNICITE_VISUELLE","shared_image_asset","","Jouets enfants, univers colore, figurines et jeux, rendu joyeux mais propre."
"bricolage","bricolage","Bricolage","","true","/uploads/category-images/bricolage.webp","bricolage.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\bricolage.webp","","","","","","OK","","","Outils en action, etabli bricolage, travaux maison propres et rassurants."
"electricite","electricite","Électricité","","true","/uploads/category-images/electricite.webp","electricite.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\electricite.webp","","","","","","OK","","","Cables, prises, ampoules LED et materiel electrique, propre et identifiable."
"gadgets","gadgets","Gadgets","","true","/uploads/category-images/gadgets.webp","gadgets.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\gadgets.webp","","","","","","OK","","","Gadgets high-tech, objets insolites et accessoires modernes, rendu premium leger."
"produits-partenaires","produits-partenaires","Produits partenaires","","false","/uploads/category-images/produits-partenaires.webp","produits-partenaires.webp","C:\Users\sinek\Desktop\maxi-trouvaille\public\uploads\category-images\produits-partenaires.webp","","","","","","OK","","","Collaboration, selection produits premium partenaires, pas de logo marketplace."
