rank;batch_id;batch_number;product_id;product_name;category_id;entry_type;order;label;status;target_path;contract_path;expected_action
6;lot-02;2;integration_articles_20260612_sac-repas-isotherme-pliable;Sac repas isotherme pliable;dropshipping-accessoires;webp;2;sac-repas-isotherme-pliable-partenaire-hold-detail-1.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/sac-repas-isotherme-pliable-partenaire-hold/sac-repas-isotherme-pliable-partenaire-hold-detail-1.webp;business-maxi-trouvailles/tableaux-action/pack-saisie-terrain-lots-suivants-prochaine-vague-sourcing-integration-articles/20260612/contrats-webp-prevus/lot-02/06-sac-repas-isotherme-pliable-02.md;Deposer un WebP exact local puis garder HOLD.
6;lot-02;2;integration_articles_20260612_sac-repas-isotherme-pliable;Sac repas isotherme pliable;dropshipping-accessoires;webp;3;sac-repas-isotherme-pliable-partenaire-hold-variant.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/sac-repas-isotherme-pliable-partenaire-hold/sac-repas-isotherme-pliable-partenaire-hold-variant.webp;business-maxi-trouvailles/tableaux-action/pack-saisie-terrain-lots-suivants-prochaine-vague-sourcing-integration-articles/20260612/contrats-webp-prevus/lot-02/06-sac-repas-isotherme-pliable-03.md;Deposer un WebP exact local puis garder HOLD.
7;lot-02;2;integration_articles_20260612_boite-rangement-medicaments-vide;Boite rangement medicaments vide;dropshipping-maison;proof;1;Reference produit exacte;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/lots-suivants/lot-02/boite-rangement-medicaments-vide/preuve-01-reference-produit-exacte.md;;Remplir la preuve interne locale puis garder HOLD.
7;lot-02;2;integration_articles_20260612_boite-rangement-medicaments-vide;Boite rangement medicaments vide;dropshipping-maison;proof;2;Nom vendeur ou partenaire;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/lots-suivants/lot-02/boite-rangement-medicaments-vide/preuve-02-nom-vendeur-ou-partenaire.md;;Remplir la preuve interne locale puis garder HOLD.
7;lot-02;2;integration_articles_20260612_boite-rangement-medicaments-vide;Boite rangement medicaments vide;dropshipping-maison;proof;3;SKU/reference fournisseur;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/lots-suivants/lot-02/boite-rangement-medicaments-vide/preuve-03-sku-reference-fournisseur.md;;Remplir la preuve interne locale puis garder HOLD.
7;lot-02;2;integration_articles_20260612_boite-rangement-medicaments-vide;Boite rangement medicaments vide;dropshipping-maison;proof;4;Variante exacte vendue;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/lots-suivants/lot-02/boite-rangement-medicaments-vide/preuve-04-variante-exacte-vendue.md;;Remplir la preuve interne locale puis garder HOLD.
7;lot-02;2;integration_articles_20260612_boite-rangement-medicaments-vide;Boite rangement medicaments vide;dropshipping-maison;proof;5;Prix fournisseur reel en centimes;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/lots-suivants/lot-02/boite-rangement-medicaments-vide/preuve-05-prix-fournisseur-reel-en-centimes.md;;Remplir la preuve interne locale puis garder HOLD.
7;lot-02;2;integration_articles_20260612_boite-rangement-medicaments-vide;Boite rangement medicaments vide;dropshipping-maison;webp;1;boite-rangement-medicaments-vide-partenaire-hold-main.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/boite-rangement-medicaments-vide-partenaire-hold/boite-rangement-medicaments-vide-partenaire-hold-main.webp;business-maxi-trouvailles/tableaux-action/pack-saisie-terrain-lots-suivants-prochaine-vague-sourcing-integration-articles/20260612/contrats-webp-prevus/lot-02/07-boite-rangement-medicaments-vide-01.md;Deposer un WebP exact local puis garder HOLD.
7;lot-02;2;integration_articles_20260612_boite-rangement-medicaments-vide;Boite rangement medicaments vide;dropshipping-maison;webp;2;boite-rangement-medicaments-vide-partenaire-hold-detail-1.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/boite-rangement-medicaments-vide-partenaire-hold/boite-rangement-medicaments-vide-partenaire-hold-detail-1.webp;business-maxi-trouvailles/tableaux-action/pack-saisie-terrain-lots-suivants-prochaine-vague-sourcing-integration-articles/20260612/contrats-webp-prevus/lot-02/07-boite-rangement-medicaments-vide-02.md;Deposer un WebP exact local puis garder HOLD.
7;lot-02;2;integration_articles_20260612_boite-rangement-medicaments-vide;Boite rangement medicaments vide;dropshipping-maison;webp;3;boite-rangement-medicaments-vide-partenaire-hold-variant.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/boite-rangement-medicaments-vide-partenaire-hold/boite-rangement-medicaments-vide-partenaire-hold-variant.webp;business-maxi-trouvailles/tableaux-action/pack-saisie-terrain-lots-suivants-prochaine-vague-sourcing-integration-articles/20260612/contrats-webp-prevus/lot-02/07-boite-rangement-medicaments-vide-03.md;Deposer un WebP exact local puis garder HOLD.
8;lot-02;2;integration_articles_20260612_pochette-cable-voyage-electronique;Pochette cable voyage electronique;dropshipping-accessoires;proof;1;Reference produit exacte;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/lots-suivants/lot-02/pochette-cable-voyage-electronique/preuve-01-reference-produit-exacte.md;;Remplir la preuve interne locale puis garder HOLD.
8;lot-02;2;integration_articles_20260612_pochette-cable-voyage-electronique;Pochette cable voyage electronique;dropshipping-accessoires;proof;2;Nom vendeur ou partenaire;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/lots-suivants/lot-02/pochette-cable-voyage-electronique/preuve-02-nom-vendeur-ou-partenaire.md;;Remplir la preuve interne locale puis garder HOLD.
8;lot-02;2;integration_articles_20260612_pochette-cable-voyage-electronique;Pochette cable voyage electronique;dropshipping-accessoires;proof;3;SKU/reference fournisseur;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/lots-suivants/lot-02/pochette-cable-voyage-electronique/preuve-03-sku-reference-fournisseur.md;;Remplir la preuve interne locale puis garder HOLD.
8;lot-02;2;integration_articles_20260612_pochette-cable-voyage-electronique;Pochette cable voyage electronique;dropshipping-accessoires;proof;4;Variante exacte vendue;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/lots-suivants/lot-02/pochette-cable-voyage-electronique/preuve-04-variante-exacte-vendue.md;;Remplir la preuve interne locale puis garder HOLD.
8;lot-02;2;integration_articles_20260612_pochette-cable-voyage-electronique;Pochette cable voyage electronique;dropshipping-accessoires;proof;5;Prix fournisseur reel en centimes;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/lots-suivants/lot-02/pochette-cable-voyage-electronique/preuve-05-prix-fournisseur-reel-en-centimes.md;;Remplir la preuve interne locale puis garder HOLD.
8;lot-02;2;integration_articles_20260612_pochette-cable-voyage-electronique;Pochette cable voyage electronique;dropshipping-accessoires;webp;1;pochette-cable-voyage-electronique-partenaire-hold-main.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/pochette-cable-voyage-electronique-partenaire-hold/pochette-cable-voyage-electronique-partenaire-hold-main.webp;business-maxi-trouvailles/tableaux-action/pack-saisie-terrain-lots-suivants-prochaine-vague-sourcing-integration-articles/20260612/contrats-webp-prevus/lot-02/08-pochette-cable-voyage-electronique-01.md;Deposer un WebP exact local puis garder HOLD.
8;lot-02;2;integration_articles_20260612_pochette-cable-voyage-electronique;Pochette cable voyage electronique;dropshipping-accessoires;webp;2;pochette-cable-voyage-electronique-partenaire-hold-detail-1.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/pochette-cable-voyage-electronique-partenaire-hold/pochette-cable-voyage-electronique-partenaire-hold-detail-1.webp;business-maxi-trouvailles/tableaux-action/pack-saisie-terrain-lots-suivants-prochaine-vague-sourcing-integration-articles/20260612/contrats-webp-prevus/lot-02/08-pochette-cable-voyage-electronique-02.md;Deposer un WebP exact local puis garder HOLD.
8;lot-02;2;integration_articles_20260612_pochette-cable-voyage-electronique;Pochette cable voyage electronique;dropshipping-accessoires;webp;3;pochette-cable-voyage-electronique-partenaire-hold-variant.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/pochette-cable-voyage-electronique-partenaire-hold/pochette-cable-voyage-electronique-partenaire-hold-variant.webp;business-maxi-trouvailles/tableaux-action/pack-saisie-terrain-lots-suivants-prochaine-vague-sourcing-integration-articles/20260612/contrats-webp-prevus/lot-02/08-pochette-cable-voyage-electronique-03.md;Deposer un WebP exact local puis garder HOLD.
9;lot-03;3;integration_articles_20260612_tapis-souris-ergonomique-repose-poignet;Tapis souris ergonomique repose poignet;dropshipping-accessoires;proof;1;Reference produit exacte;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/lots-suivants/lot-03/tapis-souris-ergonomique-repose-poignet/preuve-01-reference-produit-exacte.md;;Remplir la preuve interne locale puis garder HOLD.
9;lot-03;3;integration_articles_20260612_tapis-souris-ergonomique-repose-poignet;Tapis souris ergonomique repose poignet;dropshipping-accessoires;proof;2;Nom vendeur ou partenaire;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/lots-suivants/lot-03/tapis-souris-ergonomique-repose-poignet/preuve-02-nom-vendeur-ou-partenaire.md;;Remplir la preuve interne locale puis garder HOLD.
9;lot-03;3;integration_articles_20260612_tapis-souris-ergonomique-repose-poignet;Tapis souris ergonomique repose poignet;dropshipping-accessoires;proof;3;SKU/reference fournisseur;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/lots-suivants/lot-03/tapis-souris-ergonomique-repose-poignet/preuve-03-sku-reference-fournisseur.md;;Remplir la preuve interne locale puis garder HOLD.
9;lot-03;3;integration_articles_20260612_tapis-souris-ergonomique-repose-poignet;Tapis souris ergonomique repose poignet;dropshipping-accessoires;proof;4;Variante exacte vendue;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/lots-suivants/lot-03/tapis-souris-ergonomique-repose-poignet/preuve-04-variante-exacte-vendue.md;;Remplir la preuve interne locale puis garder HOLD.
9;lot-03;3;integration_articles_20260612_tapis-souris-ergonomique-repose-poignet;Tapis souris ergonomique repose poignet;dropshipping-accessoires;proof;5;Prix fournisseur reel en centimes;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/lots-suivants/lot-03/tapis-souris-ergonomique-repose-poignet/preuve-05-prix-fournisseur-reel-en-centimes.md;;Remplir la preuve interne locale puis garder HOLD.
9;lot-03;3;integration_articles_20260612_tapis-souris-ergonomique-repose-poignet;Tapis souris ergonomique repose poignet;dropshipping-accessoires;webp;1;tapis-souris-ergonomique-repose-poignet-partenaire-hold-main.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/tapis-souris-ergonomique-repose-poignet-partenaire-hold/tapis-souris-ergonomique-repose-poignet-partenaire-hold-main.webp;business-maxi-trouvailles/tableaux-action/pack-saisie-terrain-lots-suivants-prochaine-vague-sourcing-integration-articles/20260612/contrats-webp-prevus/lot-03/09-tapis-souris-ergonomique-repose-poignet-01.md;Deposer un WebP exact local puis garder HOLD.
9;lot-03;3;integration_articles_20260612_tapis-souris-ergonomique-repose-poignet;Tapis souris ergonomique repose poignet;dropshipping-accessoires;webp;2;tapis-souris-ergonomique-repose-poignet-partenaire-hold-detail-1.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/tapis-souris-ergonomique-repose-poignet-partenaire-hold/tapis-souris-ergonomique-repose-poignet-partenaire-hold-detail-1.webp;business-maxi-trouvailles/tableaux-action/pack-saisie-terrain-lots-suivants-prochaine-vague-sourcing-integration-articles/20260612/contrats-webp-prevus/lot-03/09-tapis-souris-ergonomique-repose-poignet-02.md;Deposer un WebP exact local puis garder HOLD.
9;lot-03;3;integration_articles_20260612_tapis-souris-ergonomique-repose-poignet;Tapis souris ergonomique repose poignet;dropshipping-accessoires;webp;3;tapis-souris-ergonomique-repose-poignet-partenaire-hold-variant.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/tapis-souris-ergonomique-repose-poignet-partenaire-hold/tapis-souris-ergonomique-repose-poignet-partenaire-hold-variant.webp;business-maxi-trouvailles/tableaux-action/pack-saisie-terrain-lots-suivants-prochaine-vague-sourcing-integration-articles/20260612/contrats-webp-prevus/lot-03/09-tapis-souris-ergonomique-repose-poignet-03.md;Deposer un WebP exact local puis garder HOLD.
10;lot-03;3;integration_articles_20260612_trousse-premiers-soins-vide-voyage;Trousse premiers soins vide voyage;dropshipping-accessoires;proof;1;Reference produit exacte;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/lots-suivants/lot-03/trousse-premiers-soins-vide-voyage/preuve-01-reference-produit-exacte.md;;Remplir la preuve interne locale puis garder HOLD.
10;lot-03;3;integration_articles_20260612_trousse-premiers-soins-vide-voyage;Trousse premiers soins vide voyage;dropshipping-accessoires;proof;2;Nom vendeur ou partenaire;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/lots-suivants/lot-03/trousse-premiers-soins-vide-voyage/preuve-02-nom-vendeur-ou-partenaire.md;;Remplir la preuve interne locale puis garder HOLD.
10;lot-03;3;integration_articles_20260612_trousse-premiers-soins-vide-voyage;Trousse premiers soins vide voyage;dropshipping-accessoires;proof;3;SKU/reference fournisseur;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/lots-suivants/lot-03/trousse-premiers-soins-vide-voyage/preuve-03-sku-reference-fournisseur.md;;Remplir la preuve interne locale puis garder HOLD.
10;lot-03;3;integration_articles_20260612_trousse-premiers-soins-vide-voyage;Trousse premiers soins vide voyage;dropshipping-accessoires;proof;4;Variante exacte vendue;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/lots-suivants/lot-03/trousse-premiers-soins-vide-voyage/preuve-04-variante-exacte-vendue.md;;Remplir la preuve interne locale puis garder HOLD.
10;lot-03;3;integration_articles_20260612_trousse-premiers-soins-vide-voyage;Trousse premiers soins vide voyage;dropshipping-accessoires;proof;5;Prix fournisseur reel en centimes;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/lots-suivants/lot-03/trousse-premiers-soins-vide-voyage/preuve-05-prix-fournisseur-reel-en-centimes.md;;Remplir la preuve interne locale puis garder HOLD.
10;lot-03;3;integration_articles_20260612_trousse-premiers-soins-vide-voyage;Trousse premiers soins vide voyage;dropshipping-accessoires;webp;1;trousse-premiers-soins-vide-voyage-partenaire-hold-main.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/trousse-premiers-soins-vide-voyage-partenaire-hold/trousse-premiers-soins-vide-voyage-partenaire-hold-main.webp;business-maxi-trouvailles/tableaux-action/pack-saisie-terrain-lots-suivants-prochaine-vague-sourcing-integration-articles/20260612/contrats-webp-prevus/lot-03/10-trousse-premiers-soins-vide-voyage-01.md;Deposer un WebP exact local puis garder HOLD.
10;lot-03;3;integration_articles_20260612_trousse-premiers-soins-vide-voyage;Trousse premiers soins vide voyage;dropshipping-accessoires;webp;2;trousse-premiers-soins-vide-voyage-partenaire-hold-detail-1.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/trousse-premiers-soins-vide-voyage-partenaire-hold/trousse-premiers-soins-vide-voyage-partenaire-hold-detail-1.webp;business-maxi-trouvailles/tableaux-action/pack-saisie-terrain-lots-suivants-prochaine-vague-sourcing-integration-articles/20260612/contrats-webp-prevus/lot-03/10-trousse-premiers-soins-vide-voyage-02.md;Deposer un WebP exact local puis garder HOLD.
10;lot-03;3;integration_articles_20260612_trousse-premiers-soins-vide-voyage;Trousse premiers soins vide voyage;dropshipping-accessoires;webp;3;trousse-premiers-soins-vide-voyage-partenaire-hold-variant.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/trousse-premiers-soins-vide-voyage-partenaire-hold/trousse-premiers-soins-vide-voyage-partenaire-hold-variant.webp;business-maxi-trouvailles/tableaux-action/pack-saisie-terrain-lots-suivants-prochaine-vague-sourcing-integration-articles/20260612/contrats-webp-prevus/lot-03/10-trousse-premiers-soins-vide-voyage-03.md;Deposer un WebP exact local puis garder HOLD.
11;lot-03;3;integration_articles_20260612_gourde-chien-voyage-anti-fuite;Gourde chien voyage anti fuite;dropshipping-animaux;proof;1;Reference produit exacte;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/lots-suivants/lot-03/gourde-chien-voyage-anti-fuite/preuve-01-reference-produit-exacte.md;;Remplir la preuve interne locale puis garder HOLD.
11;lot-03;3;integration_articles_20260612_gourde-chien-voyage-anti-fuite;Gourde chien voyage anti fuite;dropshipping-animaux;proof;2;Nom vendeur ou partenaire;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/lots-suivants/lot-03/gourde-chien-voyage-anti-fuite/preuve-02-nom-vendeur-ou-partenaire.md;;Remplir la preuve interne locale puis garder HOLD.
11;lot-03;3;integration_articles_20260612_gourde-chien-voyage-anti-fuite;Gourde chien voyage anti fuite;dropshipping-animaux;proof;3;SKU/reference fournisseur;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/lots-suivants/lot-03/gourde-chien-voyage-anti-fuite/preuve-03-sku-reference-fournisseur.md;;Remplir la preuve interne locale puis garder HOLD.
11;lot-03;3;integration_articles_20260612_gourde-chien-voyage-anti-fuite;Gourde chien voyage anti fuite;dropshipping-animaux;proof;4;Variante exacte vendue;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/lots-suivants/lot-03/gourde-chien-voyage-anti-fuite/preuve-04-variante-exacte-vendue.md;;Remplir la preuve interne locale puis garder HOLD.
11;lot-03;3;integration_articles_20260612_gourde-chien-voyage-anti-fuite;Gourde chien voyage anti fuite;dropshipping-animaux;proof;5;Prix fournisseur reel en centimes;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/lots-suivants/lot-03/gourde-chien-voyage-anti-fuite/preuve-05-prix-fournisseur-reel-en-centimes.md;;Remplir la preuve interne locale puis garder HOLD.
11;lot-03;3;integration_articles_20260612_gourde-chien-voyage-anti-fuite;Gourde chien voyage anti fuite;dropshipping-animaux;webp;1;gourde-chien-voyage-anti-fuite-partenaire-hold-main.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/gourde-chien-voyage-anti-fuite-partenaire-hold/gourde-chien-voyage-anti-fuite-partenaire-hold-main.webp;business-maxi-trouvailles/tableaux-action/pack-saisie-terrain-lots-suivants-prochaine-vague-sourcing-integration-articles/20260612/contrats-webp-prevus/lot-03/11-gourde-chien-voyage-anti-fuite-01.md;Deposer un WebP exact local puis garder HOLD.
11;lot-03;3;integration_articles_20260612_gourde-chien-voyage-anti-fuite;Gourde chien voyage anti fuite;dropshipping-animaux;webp;2;gourde-chien-voyage-anti-fuite-partenaire-hold-detail-1.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/gourde-chien-voyage-anti-fuite-partenaire-hold/gourde-chien-voyage-anti-fuite-partenaire-hold-detail-1.webp;business-maxi-trouvailles/tableaux-action/pack-saisie-terrain-lots-suivants-prochaine-vague-sourcing-integration-articles/20260612/contrats-webp-prevus/lot-03/11-gourde-chien-voyage-anti-fuite-02.md;Deposer un WebP exact local puis garder HOLD.
11;lot-03;3;integration_articles_20260612_gourde-chien-voyage-anti-fuite;Gourde chien voyage anti fuite;dropshipping-animaux;webp;3;gourde-chien-voyage-anti-fuite-partenaire-hold-variant.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/gourde-chien-voyage-anti-fuite-partenaire-hold/gourde-chien-voyage-anti-fuite-partenaire-hold-variant.webp;business-maxi-trouvailles/tableaux-action/pack-saisie-terrain-lots-suivants-prochaine-vague-sourcing-integration-articles/20260612/contrats-webp-prevus/lot-03/11-gourde-chien-voyage-anti-fuite-03.md;Deposer un WebP exact local puis garder HOLD.
12;lot-03;3;integration_articles_20260612_lampe-led-placard-rechargeable;Lampe LED placard rechargeable;dropshipping-maison;proof;1;Reference produit exacte;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/lots-suivants/lot-03/lampe-led-placard-rechargeable/preuve-01-reference-produit-exacte.md;;Remplir la preuve interne locale puis garder HOLD.
12;lot-03;3;integration_articles_20260612_lampe-led-placard-rechargeable;Lampe LED placard rechargeable;dropshipping-maison;proof;2;Nom vendeur ou partenaire;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/lots-suivants/lot-03/lampe-led-placard-rechargeable/preuve-02-nom-vendeur-ou-partenaire.md;;Remplir la preuve interne locale puis garder HOLD.
12;lot-03;3;integration_articles_20260612_lampe-led-placard-rechargeable;Lampe LED placard rechargeable;dropshipping-maison;proof;3;SKU/reference fournisseur;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/lots-suivants/lot-03/lampe-led-placard-rechargeable/preuve-03-sku-reference-fournisseur.md;;Remplir la preuve interne locale puis garder HOLD.
