priority;product_id;product_name;category_id;proof_zone;field_key;field_label;required;expected_format;current_value;reject_if;admin_href;image_deposit_dir
1;integration_articles_20260612_housse-protection-canape-animal;Housse protection canape animal;dropshipping-maison;Validation Mouss;moussValidation;Validation humaine Mouss;true;true/oui seulement apres revue humaine;false;Validation absente;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_housse-protection-canape-animal&zone=Validation+Mouss#top-verification-integration_articles_20260612_housse-protection-canape-animal;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\housse-protection-canape-animal-partenaire-hold
2;integration_articles_20260612_cable-organizer-boite-multiprise;Cache multiprise boite rangement cables;dropshipping-accessoires;Fournisseur / SKU;exactProductUrl;URL produit exacte;true;URL https de la fiche article exacte;;"URL de recherche, marketplace interdite, produit similaire ou variante floue";/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_cable-organizer-boite-multiprise&zone=Fournisseur+%2F+SKU#top-verification-integration_articles_20260612_cable-organizer-boite-multiprise;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\cache-multiprise-boite-rangement-cables-partenaire-hold
2;integration_articles_20260612_cable-organizer-boite-multiprise;Cache multiprise boite rangement cables;dropshipping-accessoires;Fournisseur / SKU;partnerName;Nom vendeur ou partenaire;true;"Nom stable du vendeur, boutique ou partenaire";;"Vendeur inconnu, nom generique ou preuve absente";/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_cable-organizer-boite-multiprise&zone=Fournisseur+%2F+SKU#top-verification-integration_articles_20260612_cable-organizer-boite-multiprise;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\cache-multiprise-boite-rangement-cables-partenaire-hold
2;integration_articles_20260612_cable-organizer-boite-multiprise;Cache multiprise boite rangement cables;dropshipping-accessoires;Fournisseur / SKU;supplierSku;SKU/reference fournisseur;true;"SKU, item id ou reference fournisseur stable";;Reference absente ou non reutilisable pour une commande manuelle;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_cable-organizer-boite-multiprise&zone=Fournisseur+%2F+SKU#top-verification-integration_articles_20260612_cable-organizer-boite-multiprise;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\cache-multiprise-boite-rangement-cables-partenaire-hold
2;integration_articles_20260612_cable-organizer-boite-multiprise;Cache multiprise boite rangement cables;dropshipping-accessoires;Fournisseur / SKU;exactVariant;Variante exacte vendue;true;"Couleur, taille, dimensions, lot et accessoires inclus";;Variante non identique aux images ou a la description Maxi;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_cable-organizer-boite-multiprise&zone=Fournisseur+%2F+SKU#top-verification-integration_articles_20260612_cable-organizer-boite-multiprise;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\cache-multiprise-boite-rangement-cables-partenaire-hold
2;integration_articles_20260612_cable-organizer-boite-multiprise;Cache multiprise boite rangement cables;dropshipping-accessoires;Prix / stock / marge;supplierPriceCents;Prix fournisseur reel en centimes;true;"Nombre entier en centimes, hors invention";;"Prix absent, prix estime ou marge cible non tenable";/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_cable-organizer-boite-multiprise&zone=Prix+%2F+stock+%2F+marge#top-verification-integration_articles_20260612_cable-organizer-boite-multiprise;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\cache-multiprise-boite-rangement-cables-partenaire-hold
2;integration_articles_20260612_cable-organizer-boite-multiprise;Cache multiprise boite rangement cables;dropshipping-accessoires;Prix / stock / marge;supplierStock;Stock fournisseur visible;true;Nombre entier ou stock visible documente;;"Stock flou, rupture, precommande ou volume non fiable";/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_cable-organizer-boite-multiprise&zone=Prix+%2F+stock+%2F+marge#top-verification-integration_articles_20260612_cable-organizer-boite-multiprise;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\cache-multiprise-boite-rangement-cables-partenaire-hold
2;integration_articles_20260612_cable-organizer-boite-multiprise;Cache multiprise boite rangement cables;dropshipping-accessoires;Livraison / suivi;deliveryToFrance;Delai France/Europe;true;Delai clair vers France/Europe avec transporteur si possible;;"Delai absent, trop vague ou incompatible avec une boutique fiable";/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_cable-organizer-boite-multiprise&zone=Livraison+%2F+suivi#top-verification-integration_articles_20260612_cable-organizer-boite-multiprise;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\cache-multiprise-boite-rangement-cables-partenaire-hold
2;integration_articles_20260612_cable-organizer-boite-multiprise;Cache multiprise boite rangement cables;dropshipping-accessoires;Livraison / suivi;trackingAvailable;Suivi colis disponible;true;true/oui si suivi confirme;;Aucun suivi fiable;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_cable-organizer-boite-multiprise&zone=Livraison+%2F+suivi#top-verification-integration_articles_20260612_cable-organizer-boite-multiprise;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\cache-multiprise-boite-rangement-cables-partenaire-hold
2;integration_articles_20260612_cable-organizer-boite-multiprise;Cache multiprise boite rangement cables;dropshipping-accessoires;Livraison / suivi;deliveryEvidence;Preuve livraison;true;"Capture, texte fournisseur ou page indiquant le delai";;Preuve absente ou non reliee au meme article;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_cable-organizer-boite-multiprise&zone=Livraison+%2F+suivi#top-verification-integration_articles_20260612_cable-organizer-boite-multiprise;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\cache-multiprise-boite-rangement-cables-partenaire-hold
2;integration_articles_20260612_cable-organizer-boite-multiprise;Cache multiprise boite rangement cables;dropshipping-accessoires;Images / droits;imageRightsEvidence;Droits images ou permission d usage;true;"Permission, licence, photos propres ou droit d usage documente";;"Photo non autorisee, image approximative ou autre produit";/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_cable-organizer-boite-multiprise&zone=Images+%2F+droits#top-verification-integration_articles_20260612_cable-organizer-boite-multiprise;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\cache-multiprise-boite-rangement-cables-partenaire-hold
2;integration_articles_20260612_cable-organizer-boite-multiprise;Cache multiprise boite rangement cables;dropshipping-accessoires;Validation Mouss;moussValidation;Validation humaine Mouss;true;true/oui seulement apres revue humaine;false;Validation absente;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_cable-organizer-boite-multiprise&zone=Validation+Mouss#top-verification-integration_articles_20260612_cable-organizer-boite-multiprise;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\cache-multiprise-boite-rangement-cables-partenaire-hold
3;integration_articles_20260612_trousse-toilette-suspendue-voyage;Trousse toilette suspendue voyage;dropshipping-accessoires;Fournisseur / SKU;exactProductUrl;URL produit exacte;true;URL https de la fiche article exacte;;"URL de recherche, marketplace interdite, produit similaire ou variante floue";/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_trousse-toilette-suspendue-voyage&zone=Fournisseur+%2F+SKU#top-verification-integration_articles_20260612_trousse-toilette-suspendue-voyage;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\trousse-toilette-suspendue-voyage-partenaire-hold
3;integration_articles_20260612_trousse-toilette-suspendue-voyage;Trousse toilette suspendue voyage;dropshipping-accessoires;Fournisseur / SKU;partnerName;Nom vendeur ou partenaire;true;"Nom stable du vendeur, boutique ou partenaire";;"Vendeur inconnu, nom generique ou preuve absente";/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_trousse-toilette-suspendue-voyage&zone=Fournisseur+%2F+SKU#top-verification-integration_articles_20260612_trousse-toilette-suspendue-voyage;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\trousse-toilette-suspendue-voyage-partenaire-hold
3;integration_articles_20260612_trousse-toilette-suspendue-voyage;Trousse toilette suspendue voyage;dropshipping-accessoires;Fournisseur / SKU;supplierSku;SKU/reference fournisseur;true;"SKU, item id ou reference fournisseur stable";;Reference absente ou non reutilisable pour une commande manuelle;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_trousse-toilette-suspendue-voyage&zone=Fournisseur+%2F+SKU#top-verification-integration_articles_20260612_trousse-toilette-suspendue-voyage;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\trousse-toilette-suspendue-voyage-partenaire-hold
3;integration_articles_20260612_trousse-toilette-suspendue-voyage;Trousse toilette suspendue voyage;dropshipping-accessoires;Fournisseur / SKU;exactVariant;Variante exacte vendue;true;"Couleur, taille, dimensions, lot et accessoires inclus";;Variante non identique aux images ou a la description Maxi;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_trousse-toilette-suspendue-voyage&zone=Fournisseur+%2F+SKU#top-verification-integration_articles_20260612_trousse-toilette-suspendue-voyage;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\trousse-toilette-suspendue-voyage-partenaire-hold
3;integration_articles_20260612_trousse-toilette-suspendue-voyage;Trousse toilette suspendue voyage;dropshipping-accessoires;Prix / stock / marge;supplierPriceCents;Prix fournisseur reel en centimes;true;"Nombre entier en centimes, hors invention";;"Prix absent, prix estime ou marge cible non tenable";/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_trousse-toilette-suspendue-voyage&zone=Prix+%2F+stock+%2F+marge#top-verification-integration_articles_20260612_trousse-toilette-suspendue-voyage;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\trousse-toilette-suspendue-voyage-partenaire-hold
3;integration_articles_20260612_trousse-toilette-suspendue-voyage;Trousse toilette suspendue voyage;dropshipping-accessoires;Prix / stock / marge;supplierStock;Stock fournisseur visible;true;Nombre entier ou stock visible documente;;"Stock flou, rupture, precommande ou volume non fiable";/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_trousse-toilette-suspendue-voyage&zone=Prix+%2F+stock+%2F+marge#top-verification-integration_articles_20260612_trousse-toilette-suspendue-voyage;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\trousse-toilette-suspendue-voyage-partenaire-hold
3;integration_articles_20260612_trousse-toilette-suspendue-voyage;Trousse toilette suspendue voyage;dropshipping-accessoires;Livraison / suivi;deliveryToFrance;Delai France/Europe;true;Delai clair vers France/Europe avec transporteur si possible;;"Delai absent, trop vague ou incompatible avec une boutique fiable";/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_trousse-toilette-suspendue-voyage&zone=Livraison+%2F+suivi#top-verification-integration_articles_20260612_trousse-toilette-suspendue-voyage;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\trousse-toilette-suspendue-voyage-partenaire-hold
3;integration_articles_20260612_trousse-toilette-suspendue-voyage;Trousse toilette suspendue voyage;dropshipping-accessoires;Livraison / suivi;trackingAvailable;Suivi colis disponible;true;true/oui si suivi confirme;;Aucun suivi fiable;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_trousse-toilette-suspendue-voyage&zone=Livraison+%2F+suivi#top-verification-integration_articles_20260612_trousse-toilette-suspendue-voyage;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\trousse-toilette-suspendue-voyage-partenaire-hold
3;integration_articles_20260612_trousse-toilette-suspendue-voyage;Trousse toilette suspendue voyage;dropshipping-accessoires;Livraison / suivi;deliveryEvidence;Preuve livraison;true;"Capture, texte fournisseur ou page indiquant le delai";;Preuve absente ou non reliee au meme article;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_trousse-toilette-suspendue-voyage&zone=Livraison+%2F+suivi#top-verification-integration_articles_20260612_trousse-toilette-suspendue-voyage;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\trousse-toilette-suspendue-voyage-partenaire-hold
3;integration_articles_20260612_trousse-toilette-suspendue-voyage;Trousse toilette suspendue voyage;dropshipping-accessoires;Images / droits;imageRightsEvidence;Droits images ou permission d usage;true;"Permission, licence, photos propres ou droit d usage documente";;"Photo non autorisee, image approximative ou autre produit";/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_trousse-toilette-suspendue-voyage&zone=Images+%2F+droits#top-verification-integration_articles_20260612_trousse-toilette-suspendue-voyage;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\trousse-toilette-suspendue-voyage-partenaire-hold
3;integration_articles_20260612_trousse-toilette-suspendue-voyage;Trousse toilette suspendue voyage;dropshipping-accessoires;Validation Mouss;moussValidation;Validation humaine Mouss;true;true/oui seulement apres revue humaine;false;Validation absente;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_trousse-toilette-suspendue-voyage&zone=Validation+Mouss#top-verification-integration_articles_20260612_trousse-toilette-suspendue-voyage;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\trousse-toilette-suspendue-voyage-partenaire-hold
4;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;Fournisseur / SKU;exactProductUrl;URL produit exacte;true;URL https de la fiche article exacte;;"URL de recherche, marketplace interdite, produit similaire ou variante floue";/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_etagere-douche-angle-adhesive&zone=Fournisseur+%2F+SKU#top-verification-integration_articles_20260612_etagere-douche-angle-adhesive;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\etagere-douche-angle-adhesive-partenaire-hold
4;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;Fournisseur / SKU;partnerName;Nom vendeur ou partenaire;true;"Nom stable du vendeur, boutique ou partenaire";;"Vendeur inconnu, nom generique ou preuve absente";/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_etagere-douche-angle-adhesive&zone=Fournisseur+%2F+SKU#top-verification-integration_articles_20260612_etagere-douche-angle-adhesive;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\etagere-douche-angle-adhesive-partenaire-hold
4;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;Fournisseur / SKU;supplierSku;SKU/reference fournisseur;true;"SKU, item id ou reference fournisseur stable";;Reference absente ou non reutilisable pour une commande manuelle;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_etagere-douche-angle-adhesive&zone=Fournisseur+%2F+SKU#top-verification-integration_articles_20260612_etagere-douche-angle-adhesive;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\etagere-douche-angle-adhesive-partenaire-hold
4;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;Fournisseur / SKU;exactVariant;Variante exacte vendue;true;"Couleur, taille, dimensions, lot et accessoires inclus";;Variante non identique aux images ou a la description Maxi;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_etagere-douche-angle-adhesive&zone=Fournisseur+%2F+SKU#top-verification-integration_articles_20260612_etagere-douche-angle-adhesive;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\etagere-douche-angle-adhesive-partenaire-hold
4;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;Prix / stock / marge;supplierPriceCents;Prix fournisseur reel en centimes;true;"Nombre entier en centimes, hors invention";;"Prix absent, prix estime ou marge cible non tenable";/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_etagere-douche-angle-adhesive&zone=Prix+%2F+stock+%2F+marge#top-verification-integration_articles_20260612_etagere-douche-angle-adhesive;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\etagere-douche-angle-adhesive-partenaire-hold
4;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;Prix / stock / marge;supplierStock;Stock fournisseur visible;true;Nombre entier ou stock visible documente;;"Stock flou, rupture, precommande ou volume non fiable";/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_etagere-douche-angle-adhesive&zone=Prix+%2F+stock+%2F+marge#top-verification-integration_articles_20260612_etagere-douche-angle-adhesive;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\etagere-douche-angle-adhesive-partenaire-hold
4;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;Livraison / suivi;deliveryToFrance;Delai France/Europe;true;Delai clair vers France/Europe avec transporteur si possible;;"Delai absent, trop vague ou incompatible avec une boutique fiable";/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_etagere-douche-angle-adhesive&zone=Livraison+%2F+suivi#top-verification-integration_articles_20260612_etagere-douche-angle-adhesive;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\etagere-douche-angle-adhesive-partenaire-hold
4;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;Livraison / suivi;trackingAvailable;Suivi colis disponible;true;true/oui si suivi confirme;;Aucun suivi fiable;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_etagere-douche-angle-adhesive&zone=Livraison+%2F+suivi#top-verification-integration_articles_20260612_etagere-douche-angle-adhesive;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\etagere-douche-angle-adhesive-partenaire-hold
4;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;Livraison / suivi;deliveryEvidence;Preuve livraison;true;"Capture, texte fournisseur ou page indiquant le delai";;Preuve absente ou non reliee au meme article;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_etagere-douche-angle-adhesive&zone=Livraison+%2F+suivi#top-verification-integration_articles_20260612_etagere-douche-angle-adhesive;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\etagere-douche-angle-adhesive-partenaire-hold
4;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;Images / droits;imageRightsEvidence;Droits images ou permission d usage;true;"Permission, licence, photos propres ou droit d usage documente";;"Photo non autorisee, image approximative ou autre produit";/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_etagere-douche-angle-adhesive&zone=Images+%2F+droits#top-verification-integration_articles_20260612_etagere-douche-angle-adhesive;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\etagere-douche-angle-adhesive-partenaire-hold
4;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;Validation Mouss;moussValidation;Validation humaine Mouss;true;true/oui seulement apres revue humaine;false;Validation absente;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_etagere-douche-angle-adhesive&zone=Validation+Mouss#top-verification-integration_articles_20260612_etagere-douche-angle-adhesive;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\etagere-douche-angle-adhesive-partenaire-hold
5;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;Fournisseur / SKU;exactProductUrl;URL produit exacte;true;URL https de la fiche article exacte;;"URL de recherche, marketplace interdite, produit similaire ou variante floue";/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_boite-a-the-compartiments-bambou&zone=Fournisseur+%2F+SKU#top-verification-integration_articles_20260612_boite-a-the-compartiments-bambou;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\boite-a-the-compartiments-bambou-partenaire-hold
5;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;Fournisseur / SKU;partnerName;Nom vendeur ou partenaire;true;"Nom stable du vendeur, boutique ou partenaire";;"Vendeur inconnu, nom generique ou preuve absente";/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_boite-a-the-compartiments-bambou&zone=Fournisseur+%2F+SKU#top-verification-integration_articles_20260612_boite-a-the-compartiments-bambou;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\boite-a-the-compartiments-bambou-partenaire-hold
5;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;Fournisseur / SKU;supplierSku;SKU/reference fournisseur;true;"SKU, item id ou reference fournisseur stable";;Reference absente ou non reutilisable pour une commande manuelle;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_boite-a-the-compartiments-bambou&zone=Fournisseur+%2F+SKU#top-verification-integration_articles_20260612_boite-a-the-compartiments-bambou;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\boite-a-the-compartiments-bambou-partenaire-hold
