product_rank;product_id;product_name;category_id;proof_order;proof_key;zone;label;status;expected_format;reject_if;admin_href
3;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;dropshipping-auto-moto;1;exact_product_reference;Source produit exacte;Reference produit exacte;TO_FILL_HOLD;"Reference interne complete, a garder hors surface client.";Refuser si la fiche ne montre pas exactement le meme article.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_organisateur-coffre-voiture-pliable#next-wave-sourcing
3;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;dropshipping-auto-moto;2;partner_name;Partenaire logistique;Nom vendeur ou partenaire;TO_FILL_HOLD;"Nom du partenaire identifie, conserve uniquement dans les preuves internes.";Refuser si le partenaire n'est pas identifiable.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_organisateur-coffre-voiture-pliable#next-wave-sourcing
3;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;dropshipping-auto-moto;3;supplier_sku;Reference produit;SKU/reference fournisseur;TO_FILL_HOLD;Reference produit ou variante exacte reliee au meme article.;Refuser si la reference ne correspond pas a la variante cible.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_organisateur-coffre-voiture-pliable#next-wave-sourcing
3;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;dropshipping-auto-moto;4;exact_variant;Variante;Variante exacte vendue;TO_FILL_HOLD;"Couleur, taille, lot et option confirmes avant toute revue.";Refuser si la variante est ambigue ou differente.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_organisateur-coffre-voiture-pliable#next-wave-sourcing
3;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;dropshipping-auto-moto;5;real_supplier_price_cents;Prix et marge;Prix fournisseur reel en centimes;TO_FILL_HOLD;Prix reel saisi en centimes pour verifier marge et prix cible.;"Refuser si le cout est estime, incomplet ou non relie a la variante.";/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_organisateur-coffre-voiture-pliable#next-wave-sourcing
4;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;dropshipping-cuisine;1;exact_product_reference;Source produit exacte;Reference produit exacte;TO_FILL_HOLD;"Reference interne complete, a garder hors surface client.";Refuser si la fiche ne montre pas exactement le meme article.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_organisateur-tiroir-cuisine-extensible#next-wave-sourcing
4;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;dropshipping-cuisine;2;partner_name;Partenaire logistique;Nom vendeur ou partenaire;TO_FILL_HOLD;"Nom du partenaire identifie, conserve uniquement dans les preuves internes.";Refuser si le partenaire n'est pas identifiable.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_organisateur-tiroir-cuisine-extensible#next-wave-sourcing
4;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;dropshipping-cuisine;3;supplier_sku;Reference produit;SKU/reference fournisseur;TO_FILL_HOLD;Reference produit ou variante exacte reliee au meme article.;Refuser si la reference ne correspond pas a la variante cible.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_organisateur-tiroir-cuisine-extensible#next-wave-sourcing
4;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;dropshipping-cuisine;4;exact_variant;Variante;Variante exacte vendue;TO_FILL_HOLD;"Couleur, taille, lot et option confirmes avant toute revue.";Refuser si la variante est ambigue ou differente.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_organisateur-tiroir-cuisine-extensible#next-wave-sourcing
4;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;dropshipping-cuisine;5;real_supplier_price_cents;Prix et marge;Prix fournisseur reel en centimes;TO_FILL_HOLD;Prix reel saisi en centimes pour verifier marge et prix cible.;"Refuser si le cout est estime, incomplet ou non relie a la variante.";/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_organisateur-tiroir-cuisine-extensible#next-wave-sourcing
5;integration_articles_20260612_sacs-compression-voyage-lot;Sacs compression voyage lot;dropshipping-accessoires;1;exact_product_reference;Source produit exacte;Reference produit exacte;TO_FILL_HOLD;"Reference interne complete, a garder hors surface client.";Refuser si la fiche ne montre pas exactement le meme article.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_sacs-compression-voyage-lot#next-wave-sourcing
5;integration_articles_20260612_sacs-compression-voyage-lot;Sacs compression voyage lot;dropshipping-accessoires;2;partner_name;Partenaire logistique;Nom vendeur ou partenaire;TO_FILL_HOLD;"Nom du partenaire identifie, conserve uniquement dans les preuves internes.";Refuser si le partenaire n'est pas identifiable.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_sacs-compression-voyage-lot#next-wave-sourcing
5;integration_articles_20260612_sacs-compression-voyage-lot;Sacs compression voyage lot;dropshipping-accessoires;3;supplier_sku;Reference produit;SKU/reference fournisseur;TO_FILL_HOLD;Reference produit ou variante exacte reliee au meme article.;Refuser si la reference ne correspond pas a la variante cible.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_sacs-compression-voyage-lot#next-wave-sourcing
5;integration_articles_20260612_sacs-compression-voyage-lot;Sacs compression voyage lot;dropshipping-accessoires;4;exact_variant;Variante;Variante exacte vendue;TO_FILL_HOLD;"Couleur, taille, lot et option confirmes avant toute revue.";Refuser si la variante est ambigue ou differente.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_sacs-compression-voyage-lot#next-wave-sourcing
5;integration_articles_20260612_sacs-compression-voyage-lot;Sacs compression voyage lot;dropshipping-accessoires;5;real_supplier_price_cents;Prix et marge;Prix fournisseur reel en centimes;TO_FILL_HOLD;Prix reel saisi en centimes pour verifier marge et prix cible.;"Refuser si le cout est estime, incomplet ou non relie a la variante.";/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_sacs-compression-voyage-lot#next-wave-sourcing
6;integration_articles_20260612_sac-repas-isotherme-pliable;Sac repas isotherme pliable;dropshipping-accessoires;1;exact_product_reference;Source produit exacte;Reference produit exacte;TO_FILL_HOLD;"Reference interne complete, a garder hors surface client.";Refuser si la fiche ne montre pas exactement le meme article.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_sac-repas-isotherme-pliable#next-wave-sourcing
6;integration_articles_20260612_sac-repas-isotherme-pliable;Sac repas isotherme pliable;dropshipping-accessoires;2;partner_name;Partenaire logistique;Nom vendeur ou partenaire;TO_FILL_HOLD;"Nom du partenaire identifie, conserve uniquement dans les preuves internes.";Refuser si le partenaire n'est pas identifiable.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_sac-repas-isotherme-pliable#next-wave-sourcing
6;integration_articles_20260612_sac-repas-isotherme-pliable;Sac repas isotherme pliable;dropshipping-accessoires;3;supplier_sku;Reference produit;SKU/reference fournisseur;TO_FILL_HOLD;Reference produit ou variante exacte reliee au meme article.;Refuser si la reference ne correspond pas a la variante cible.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_sac-repas-isotherme-pliable#next-wave-sourcing
6;integration_articles_20260612_sac-repas-isotherme-pliable;Sac repas isotherme pliable;dropshipping-accessoires;4;exact_variant;Variante;Variante exacte vendue;TO_FILL_HOLD;"Couleur, taille, lot et option confirmes avant toute revue.";Refuser si la variante est ambigue ou differente.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_sac-repas-isotherme-pliable#next-wave-sourcing
6;integration_articles_20260612_sac-repas-isotherme-pliable;Sac repas isotherme pliable;dropshipping-accessoires;5;real_supplier_price_cents;Prix et marge;Prix fournisseur reel en centimes;TO_FILL_HOLD;Prix reel saisi en centimes pour verifier marge et prix cible.;"Refuser si le cout est estime, incomplet ou non relie a la variante.";/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_sac-repas-isotherme-pliable#next-wave-sourcing
7;integration_articles_20260612_boite-rangement-medicaments-vide;Boite rangement medicaments vide;dropshipping-maison;1;exact_product_reference;Source produit exacte;Reference produit exacte;TO_FILL_HOLD;"Reference interne complete, a garder hors surface client.";Refuser si la fiche ne montre pas exactement le meme article.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_boite-rangement-medicaments-vide#next-wave-sourcing
7;integration_articles_20260612_boite-rangement-medicaments-vide;Boite rangement medicaments vide;dropshipping-maison;2;partner_name;Partenaire logistique;Nom vendeur ou partenaire;TO_FILL_HOLD;"Nom du partenaire identifie, conserve uniquement dans les preuves internes.";Refuser si le partenaire n'est pas identifiable.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_boite-rangement-medicaments-vide#next-wave-sourcing
7;integration_articles_20260612_boite-rangement-medicaments-vide;Boite rangement medicaments vide;dropshipping-maison;3;supplier_sku;Reference produit;SKU/reference fournisseur;TO_FILL_HOLD;Reference produit ou variante exacte reliee au meme article.;Refuser si la reference ne correspond pas a la variante cible.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_boite-rangement-medicaments-vide#next-wave-sourcing
7;integration_articles_20260612_boite-rangement-medicaments-vide;Boite rangement medicaments vide;dropshipping-maison;4;exact_variant;Variante;Variante exacte vendue;TO_FILL_HOLD;"Couleur, taille, lot et option confirmes avant toute revue.";Refuser si la variante est ambigue ou differente.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_boite-rangement-medicaments-vide#next-wave-sourcing
7;integration_articles_20260612_boite-rangement-medicaments-vide;Boite rangement medicaments vide;dropshipping-maison;5;real_supplier_price_cents;Prix et marge;Prix fournisseur reel en centimes;TO_FILL_HOLD;Prix reel saisi en centimes pour verifier marge et prix cible.;"Refuser si le cout est estime, incomplet ou non relie a la variante.";/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_boite-rangement-medicaments-vide#next-wave-sourcing
8;integration_articles_20260612_pochette-cable-voyage-electronique;Pochette cable voyage electronique;dropshipping-accessoires;1;exact_product_reference;Source produit exacte;Reference produit exacte;TO_FILL_HOLD;"Reference interne complete, a garder hors surface client.";Refuser si la fiche ne montre pas exactement le meme article.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_pochette-cable-voyage-electronique#next-wave-sourcing
8;integration_articles_20260612_pochette-cable-voyage-electronique;Pochette cable voyage electronique;dropshipping-accessoires;2;partner_name;Partenaire logistique;Nom vendeur ou partenaire;TO_FILL_HOLD;"Nom du partenaire identifie, conserve uniquement dans les preuves internes.";Refuser si le partenaire n'est pas identifiable.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_pochette-cable-voyage-electronique#next-wave-sourcing
8;integration_articles_20260612_pochette-cable-voyage-electronique;Pochette cable voyage electronique;dropshipping-accessoires;3;supplier_sku;Reference produit;SKU/reference fournisseur;TO_FILL_HOLD;Reference produit ou variante exacte reliee au meme article.;Refuser si la reference ne correspond pas a la variante cible.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_pochette-cable-voyage-electronique#next-wave-sourcing
8;integration_articles_20260612_pochette-cable-voyage-electronique;Pochette cable voyage electronique;dropshipping-accessoires;4;exact_variant;Variante;Variante exacte vendue;TO_FILL_HOLD;"Couleur, taille, lot et option confirmes avant toute revue.";Refuser si la variante est ambigue ou differente.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_pochette-cable-voyage-electronique#next-wave-sourcing
8;integration_articles_20260612_pochette-cable-voyage-electronique;Pochette cable voyage electronique;dropshipping-accessoires;5;real_supplier_price_cents;Prix et marge;Prix fournisseur reel en centimes;TO_FILL_HOLD;Prix reel saisi en centimes pour verifier marge et prix cible.;"Refuser si le cout est estime, incomplet ou non relie a la variante.";/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_pochette-cable-voyage-electronique#next-wave-sourcing
9;integration_articles_20260612_tapis-souris-ergonomique-repose-poignet;Tapis souris ergonomique repose poignet;dropshipping-accessoires;1;exact_product_reference;Source produit exacte;Reference produit exacte;TO_FILL_HOLD;"Reference interne complete, a garder hors surface client.";Refuser si la fiche ne montre pas exactement le meme article.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_tapis-souris-ergonomique-repose-poignet#next-wave-sourcing
9;integration_articles_20260612_tapis-souris-ergonomique-repose-poignet;Tapis souris ergonomique repose poignet;dropshipping-accessoires;2;partner_name;Partenaire logistique;Nom vendeur ou partenaire;TO_FILL_HOLD;"Nom du partenaire identifie, conserve uniquement dans les preuves internes.";Refuser si le partenaire n'est pas identifiable.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_tapis-souris-ergonomique-repose-poignet#next-wave-sourcing
9;integration_articles_20260612_tapis-souris-ergonomique-repose-poignet;Tapis souris ergonomique repose poignet;dropshipping-accessoires;3;supplier_sku;Reference produit;SKU/reference fournisseur;TO_FILL_HOLD;Reference produit ou variante exacte reliee au meme article.;Refuser si la reference ne correspond pas a la variante cible.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_tapis-souris-ergonomique-repose-poignet#next-wave-sourcing
9;integration_articles_20260612_tapis-souris-ergonomique-repose-poignet;Tapis souris ergonomique repose poignet;dropshipping-accessoires;4;exact_variant;Variante;Variante exacte vendue;TO_FILL_HOLD;"Couleur, taille, lot et option confirmes avant toute revue.";Refuser si la variante est ambigue ou differente.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_tapis-souris-ergonomique-repose-poignet#next-wave-sourcing
9;integration_articles_20260612_tapis-souris-ergonomique-repose-poignet;Tapis souris ergonomique repose poignet;dropshipping-accessoires;5;real_supplier_price_cents;Prix et marge;Prix fournisseur reel en centimes;TO_FILL_HOLD;Prix reel saisi en centimes pour verifier marge et prix cible.;"Refuser si le cout est estime, incomplet ou non relie a la variante.";/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_tapis-souris-ergonomique-repose-poignet#next-wave-sourcing
10;integration_articles_20260612_trousse-premiers-soins-vide-voyage;Trousse premiers soins vide voyage;dropshipping-accessoires;1;exact_product_reference;Source produit exacte;Reference produit exacte;TO_FILL_HOLD;"Reference interne complete, a garder hors surface client.";Refuser si la fiche ne montre pas exactement le meme article.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_trousse-premiers-soins-vide-voyage#next-wave-sourcing
10;integration_articles_20260612_trousse-premiers-soins-vide-voyage;Trousse premiers soins vide voyage;dropshipping-accessoires;2;partner_name;Partenaire logistique;Nom vendeur ou partenaire;TO_FILL_HOLD;"Nom du partenaire identifie, conserve uniquement dans les preuves internes.";Refuser si le partenaire n'est pas identifiable.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_trousse-premiers-soins-vide-voyage#next-wave-sourcing
10;integration_articles_20260612_trousse-premiers-soins-vide-voyage;Trousse premiers soins vide voyage;dropshipping-accessoires;3;supplier_sku;Reference produit;SKU/reference fournisseur;TO_FILL_HOLD;Reference produit ou variante exacte reliee au meme article.;Refuser si la reference ne correspond pas a la variante cible.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_trousse-premiers-soins-vide-voyage#next-wave-sourcing
10;integration_articles_20260612_trousse-premiers-soins-vide-voyage;Trousse premiers soins vide voyage;dropshipping-accessoires;4;exact_variant;Variante;Variante exacte vendue;TO_FILL_HOLD;"Couleur, taille, lot et option confirmes avant toute revue.";Refuser si la variante est ambigue ou differente.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_trousse-premiers-soins-vide-voyage#next-wave-sourcing
10;integration_articles_20260612_trousse-premiers-soins-vide-voyage;Trousse premiers soins vide voyage;dropshipping-accessoires;5;real_supplier_price_cents;Prix et marge;Prix fournisseur reel en centimes;TO_FILL_HOLD;Prix reel saisi en centimes pour verifier marge et prix cible.;"Refuser si le cout est estime, incomplet ou non relie a la variante.";/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_trousse-premiers-soins-vide-voyage#next-wave-sourcing
11;integration_articles_20260612_gourde-chien-voyage-anti-fuite;Gourde chien voyage anti fuite;dropshipping-animaux;1;exact_product_reference;Source produit exacte;Reference produit exacte;TO_FILL_HOLD;"Reference interne complete, a garder hors surface client.";Refuser si la fiche ne montre pas exactement le meme article.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_gourde-chien-voyage-anti-fuite#next-wave-sourcing
11;integration_articles_20260612_gourde-chien-voyage-anti-fuite;Gourde chien voyage anti fuite;dropshipping-animaux;2;partner_name;Partenaire logistique;Nom vendeur ou partenaire;TO_FILL_HOLD;"Nom du partenaire identifie, conserve uniquement dans les preuves internes.";Refuser si le partenaire n'est pas identifiable.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_gourde-chien-voyage-anti-fuite#next-wave-sourcing
11;integration_articles_20260612_gourde-chien-voyage-anti-fuite;Gourde chien voyage anti fuite;dropshipping-animaux;3;supplier_sku;Reference produit;SKU/reference fournisseur;TO_FILL_HOLD;Reference produit ou variante exacte reliee au meme article.;Refuser si la reference ne correspond pas a la variante cible.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_gourde-chien-voyage-anti-fuite#next-wave-sourcing
11;integration_articles_20260612_gourde-chien-voyage-anti-fuite;Gourde chien voyage anti fuite;dropshipping-animaux;4;exact_variant;Variante;Variante exacte vendue;TO_FILL_HOLD;"Couleur, taille, lot et option confirmes avant toute revue.";Refuser si la variante est ambigue ou differente.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_gourde-chien-voyage-anti-fuite#next-wave-sourcing
11;integration_articles_20260612_gourde-chien-voyage-anti-fuite;Gourde chien voyage anti fuite;dropshipping-animaux;5;real_supplier_price_cents;Prix et marge;Prix fournisseur reel en centimes;TO_FILL_HOLD;Prix reel saisi en centimes pour verifier marge et prix cible.;"Refuser si le cout est estime, incomplet ou non relie a la variante.";/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_gourde-chien-voyage-anti-fuite#next-wave-sourcing
12;integration_articles_20260612_lampe-led-placard-rechargeable;Lampe LED placard rechargeable;dropshipping-maison;1;exact_product_reference;Source produit exacte;Reference produit exacte;TO_FILL_HOLD;"Reference interne complete, a garder hors surface client.";Refuser si la fiche ne montre pas exactement le meme article.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_lampe-led-placard-rechargeable#next-wave-sourcing
12;integration_articles_20260612_lampe-led-placard-rechargeable;Lampe LED placard rechargeable;dropshipping-maison;2;partner_name;Partenaire logistique;Nom vendeur ou partenaire;TO_FILL_HOLD;"Nom du partenaire identifie, conserve uniquement dans les preuves internes.";Refuser si le partenaire n'est pas identifiable.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_lampe-led-placard-rechargeable#next-wave-sourcing
12;integration_articles_20260612_lampe-led-placard-rechargeable;Lampe LED placard rechargeable;dropshipping-maison;3;supplier_sku;Reference produit;SKU/reference fournisseur;TO_FILL_HOLD;Reference produit ou variante exacte reliee au meme article.;Refuser si la reference ne correspond pas a la variante cible.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_lampe-led-placard-rechargeable#next-wave-sourcing
12;integration_articles_20260612_lampe-led-placard-rechargeable;Lampe LED placard rechargeable;dropshipping-maison;4;exact_variant;Variante;Variante exacte vendue;TO_FILL_HOLD;"Couleur, taille, lot et option confirmes avant toute revue.";Refuser si la variante est ambigue ou differente.;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_lampe-led-placard-rechargeable#next-wave-sourcing
12;integration_articles_20260612_lampe-led-placard-rechargeable;Lampe LED placard rechargeable;dropshipping-maison;5;real_supplier_price_cents;Prix et marge;Prix fournisseur reel en centimes;TO_FILL_HOLD;Prix reel saisi en centimes pour verifier marge et prix cible.;"Refuser si le cout est estime, incomplet ou non relie a la variante.";/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_lampe-led-placard-rechargeable#next-wave-sourcing
