priority,status,categoryId,categorySlug,categoryName,visible,parentId,currentImageFileName,currentImageUrl,fileStatus,fileBytes,fileWidth,fileHeight,sharedWithCategoryIds,proposedImageFileName,proposedPublicUrl,inSprint,promotionStatus,action,blockers,visualDirection
"P3","REVIEW_SHARED_ASSET","espace-revendeur","espace-revendeur","Espace revendeur","true","","espace-revendeur.webp","/uploads/category-images/espace-revendeur.webp","present_valid_webp_signature","109724","960","640","palettes-destockage","espace-revendeur-rayon.webp","/uploads/category-images/espace-revendeur-rayon.webp","false","","revoir l'unicite si la categorie devient visible ou prioritaire","","Version rayon Maxi Trouvailles: image realiste, moderne et claire. Signal visuel: palettes, cartons en gros, stock professionnel et ambiance entrepot propre. Style premium leger, lumineux, responsive mobile et PC."
"P3","KEEP_AS_CANONICAL_UNTIL_PARTNER_SPLIT","animaux","animaux","Animaux","true","","animaux.webp","/uploads/category-images/animaux.webp","present_valid_webp_signature","85906","960","640","dropshipping-animaux","animaux-rayon.webp","/uploads/category-images/animaux-rayon.webp","false","","garder comme image rayon principale, verifier apres separation dropshipping","","Version rayon Maxi Trouvailles: image realiste, moderne et claire. Signal visuel: chien, chat, accessoires animaux et rayon animalerie chaleureux. Style premium leger, lumineux, responsive mobile et PC."
"P3","KEEP_AS_CANONICAL_UNTIL_PARTNER_SPLIT","beaute-sante","beaute-sante","Beauté / santé","true","","beaute-sante.webp","/uploads/category-images/beaute-sante.webp","present_valid_webp_signature","48964","960","640","dropshipping-beaute","beaute-sante-rayon.webp","/uploads/category-images/beaute-sante-rayon.webp","false","","garder comme image rayon principale, verifier apres separation dropshipping","","Version rayon Maxi Trouvailles: image realiste, moderne et claire. Signal visuel: soins, maquillage, parfum, bien-etre et accessoires beaute. Style premium leger, lumineux, responsive mobile et PC."
"P3","KEEP_AS_CANONICAL_UNTIL_PARTNER_SPLIT","jouets","jouets","Jouets","true","","jouets.webp","/uploads/category-images/jouets.webp","present_valid_webp_signature","90428","960","640","dropshipping-enfant","jouets-rayon.webp","/uploads/category-images/jouets-rayon.webp","false","","garder comme image rayon principale, verifier apres separation dropshipping","","Version rayon Maxi Trouvailles: image realiste, moderne et claire. Signal visuel: jouets enfants, figurines, jeux et univers colore propre. Style premium leger, lumineux, responsive mobile et PC."
"P3","KEEP_AS_CANONICAL_UNTIL_PARTNER_SPLIT","vetements","vetements","Vêtements","true","","vetements.webp","/uploads/category-images/vetements.webp","present_valid_webp_signature","120852","960","640","dropshipping-mode","vetements-rayon.webp","/uploads/category-images/vetements-rayon.webp","false","","garder comme image rayon principale, verifier apres separation dropshipping","","Version rayon Maxi Trouvailles: image realiste, moderne et claire. Signal visuel: portants vetements, mode homme/femme et ambiance boutique textile. Style premium leger, lumineux, responsive mobile et PC."
"P4","HOLD_HIDDEN_OR_COMING_SOON","colis-au-poids","colis-au-poids","Colis au poids","false","colis-surprise-palettes","colis-surprise-palettes.webp","/uploads/category-images/colis-surprise-palettes.webp","present_valid_webp_signature","72078","960","640","colis-surprise-palettes | colis-mysteres | colis-surprise","colis-au-poids-a-venir.webp","/uploads/category-images/colis-au-poids-a-venir.webp","false","","ne pas mettre en avant tant que la categorie reste cachee/non vendable","","Version rayon Maxi Trouvailles: image realiste, moderne et claire. Signal visuel: cartons ouverts, colis mysteres et ambiance destockage surprise, sans vente active. Style premium leger, lumineux, responsive mobile et PC."
"P4","HOLD_HIDDEN_OR_COMING_SOON","colis-mysteres","colis-mysteres","Colis mystères","false","colis-surprise-palettes","colis-surprise-palettes.webp","/uploads/category-images/colis-surprise-palettes.webp","present_valid_webp_signature","72078","960","640","colis-surprise-palettes | colis-au-poids | colis-surprise","colis-mysteres-a-venir.webp","/uploads/category-images/colis-mysteres-a-venir.webp","false","","ne pas mettre en avant tant que la categorie reste cachee/non vendable","","Version rayon Maxi Trouvailles: image realiste, moderne et claire. Signal visuel: cartons ouverts, colis mysteres et ambiance destockage surprise, sans vente active. Style premium leger, lumineux, responsive mobile et PC."
"P4","HOLD_HIDDEN_OR_COMING_SOON","colis-surprise","colis-surprise","Colis surprise","false","colis-surprise-palettes","colis-surprise-palettes.webp","/uploads/category-images/colis-surprise-palettes.webp","present_valid_webp_signature","72078","960","640","colis-surprise-palettes | colis-mysteres | colis-au-poids","colis-surprise-a-venir.webp","/uploads/category-images/colis-surprise-a-venir.webp","false","","ne pas mettre en avant tant que la categorie reste cachee/non vendable","","Version rayon Maxi Trouvailles: image realiste, moderne et claire. Signal visuel: cartons ouverts, colis mysteres et ambiance destockage surprise, sans vente active. Style premium leger, lumineux, responsive mobile et PC."
"P4","HOLD_HIDDEN_OR_COMING_SOON","colis-surprise-palettes","colis-surprise-palettes","Colis surprise & palettes","false","","colis-surprise-palettes.webp","/uploads/category-images/colis-surprise-palettes.webp","present_valid_webp_signature","72078","960","640","colis-mysteres | colis-au-poids | colis-surprise","colis-surprise-palettes-a-venir.webp","/uploads/category-images/colis-surprise-palettes-a-venir.webp","false","","ne pas mettre en avant tant que la categorie reste cachee/non vendable","","Version rayon Maxi Trouvailles: image realiste, moderne et claire. Signal visuel: cartons ouverts, colis mysteres et ambiance destockage surprise, sans vente active. Style premium leger, lumineux, responsive mobile et PC."
"P4","HOLD_HIDDEN_OR_COMING_SOON","lots-bonnes-affaires","lots-bonnes-affaires","Lots & bonnes affaires","false","colis-surprise-palettes","dropshipping-promotions.webp","/uploads/category-images/dropshipping-promotions.webp","present_valid_webp_signature","63386","960","640","dropshipping-promotions","lots-bonnes-affaires-a-venir.webp","/uploads/category-images/lots-bonnes-affaires-a-venir.webp","false","","ne pas mettre en avant tant que la categorie reste cachee/non vendable","","Version rayon Maxi Trouvailles: image realiste, moderne et claire. Signal visuel: Promotions visuelles propres, etiquettes prix sans marque, ambiance bonnes affaires.. Style premium leger, lumineux, responsive mobile et PC."
"P4","HOLD_HIDDEN_OR_COMING_SOON","palettes-destockage","palettes-destockage","Palettes","false","colis-surprise-palettes","espace-revendeur.webp","/uploads/category-images/espace-revendeur.webp","present_valid_webp_signature","109724","960","640","espace-revendeur","palettes-destockage-a-venir.webp","/uploads/category-images/palettes-destockage-a-venir.webp","false","","ne pas mettre en avant tant que la categorie reste cachee/non vendable","","Version rayon Maxi Trouvailles: image realiste, moderne et claire. Signal visuel: cartons ouverts, colis mysteres et ambiance destockage surprise, sans vente active. Style premium leger, lumineux, responsive mobile et PC."
"P4","HOLD_HIDDEN_OR_COMING_SOON","produits-partenaires","produits-partenaires","Produits partenaires","false","","produits-partenaires.webp","/uploads/category-images/produits-partenaires.webp","present_valid_webp_signature","51290","960","640","","produits-partenaires-a-venir.webp","/uploads/category-images/produits-partenaires-a-venir.webp","false","","ne pas mettre en avant tant que la categorie reste cachee/non vendable","","Version rayon Maxi Trouvailles: image realiste, moderne et claire. Signal visuel: Collaboration, selection produits premium partenaires, pas de logo marketplace.. Style premium leger, lumineux, responsive mobile et PC."
"OK","OK_KEEP_CURRENT","dropshipping-nouveautes","nouveautes-partenaires","Nouveautés","true","dropshipping","dropshipping-nouveautes.webp","/uploads/category-images/dropshipping-nouveautes.webp","present_valid_webp_signature","75292","960","640","","dropshipping-nouveautes.webp","/uploads/category-images/dropshipping-nouveautes.webp","false","","conserver l'image actuelle","","Version produits partenaires: selection ecommerce neuve et propre, sans marketplace visible. Signal visuel: produits nouveaux, tendance, selection ecommerce fraiche. Style premium leger, lumineux, responsive mobile et PC."
"OK","OK_KEEP_CURRENT","agencement-magasin","agencement-magasin","Agencement magasin","true","","agencement-magasin.webp","/uploads/category-images/agencement-magasin.webp","present_valid_webp_signature","91318","960","640","","agencement-magasin-rayon.webp","/uploads/category-images/agencement-magasin-rayon.webp","false","","conserver l'image actuelle","","Version rayon Maxi Trouvailles: image realiste, moderne et claire. Signal visuel: boutique moderne, rayons et organisation magasin. Style premium leger, lumineux, responsive mobile et PC."
"OK","OK_KEEP_CURRENT","bricolage","bricolage","Bricolage","true","","bricolage.webp","/uploads/category-images/bricolage.webp","present_valid_webp_signature","82578","960","640","","bricolage-rayon.webp","/uploads/category-images/bricolage-rayon.webp","false","","conserver l'image actuelle","","Version rayon Maxi Trouvailles: image realiste, moderne et claire. Signal visuel: outils en action, travaux maison et etabli bricolage. Style premium leger, lumineux, responsive mobile et PC."
"OK","OK_KEEP_CURRENT","deco","deco","Déco","true","","deco.webp","/uploads/category-images/deco.webp","present_valid_webp_signature","86254","960","640","","deco-rayon.webp","/uploads/category-images/deco-rayon.webp","false","","conserver l'image actuelle","","Version rayon Maxi Trouvailles: image realiste, moderne et claire. Signal visuel: salon moderne, decoration interieure et ambiance maison design. Style premium leger, lumineux, responsive mobile et PC."
"OK","OK_KEEP_CURRENT","dropshipping","produits-partenaires","Produits partenaires","true","","dropshipping.webp","/uploads/category-images/dropshipping.webp","present_valid_webp_signature","59002","960","640","","dropshipping-rayon.webp","/uploads/category-images/dropshipping-rayon.webp","false","","conserver l'image actuelle","","Version produits partenaires: selection ecommerce neuve et propre, sans marketplace visible. Signal visuel: Selection produits partenaires variee, ecommerce moderne, sans marketplace ni logo.. Style premium leger, lumineux, responsive mobile et PC."
"OK","OK_KEEP_CURRENT","electricite","electricite","Électricité","true","","electricite.webp","/uploads/category-images/electricite.webp","present_valid_webp_signature","81830","960","640","","electricite-rayon.webp","/uploads/category-images/electricite-rayon.webp","false","","conserver l'image actuelle","","Version rayon Maxi Trouvailles: image realiste, moderne et claire. Signal visuel: cables, prises, ampoules LED et materiel electrique. Style premium leger, lumineux, responsive mobile et PC."
"OK","OK_KEEP_CURRENT","gadgets","gadgets","Gadgets","true","","gadgets.webp","/uploads/category-images/gadgets.webp","present_valid_webp_signature","57210","960","640","","gadgets-rayon.webp","/uploads/category-images/gadgets-rayon.webp","false","","conserver l'image actuelle","","Version rayon Maxi Trouvailles: image realiste, moderne et claire. Signal visuel: gadgets high-tech, objets insolites et accessoires modernes. Style premium leger, lumineux, responsive mobile et PC."
"OK","OK_KEEP_CURRENT","informatique","informatique","Informatique","true","","informatique.webp","/uploads/category-images/informatique.webp","present_valid_webp_signature","60602","960","640","","informatique-rayon.webp","/uploads/category-images/informatique-rayon.webp","false","","conserver l'image actuelle","","Version rayon Maxi Trouvailles: image realiste, moderne et claire. Signal visuel: PC, clavier, setup bureau et composants informatique. Style premium leger, lumineux, responsive mobile et PC."
"OK","OK_KEEP_CURRENT","jardin","jardin","Jardin","true","","jardin.webp","/uploads/category-images/jardin.webp","present_valid_webp_signature","155254","960","640","","jardin-rayon.webp","/uploads/category-images/jardin-rayon.webp","false","","conserver l'image actuelle","","Version rayon Maxi Trouvailles: image realiste, moderne et claire. Signal visuel: plantes, tondeuse, arrosoir, pots et jardin exterieur. Style premium leger, lumineux, responsive mobile et PC."
"OK","OK_KEEP_CURRENT","jeux-video","jeux-video","Jeux vidéo","true","","jeux-video.webp","/uploads/category-images/jeux-video.webp","present_valid_webp_signature","40246","960","640","","jeux-video-rayon.webp","/uploads/category-images/jeux-video-rayon.webp","false","","conserver l'image actuelle","","Version rayon Maxi Trouvailles: image realiste, moderne et claire. Signal visuel: console, manette gaming, setup moderne et accessoires joueur. Style premium leger, lumineux, responsive mobile et PC."
"OK","OK_KEEP_CURRENT","livre-media","livre-media","Livre / média","true","","livre-media.webp","/uploads/category-images/livre-media.webp","present_valid_webp_signature","91600","960","640","","livre-media-rayon.webp","/uploads/category-images/livre-media-rayon.webp","false","","conserver l'image actuelle","","Version rayon Maxi Trouvailles: image realiste, moderne et claire. Signal visuel: livres, mangas, BD, DVD, CD, vinyles ou etagere media. Style premium leger, lumineux, responsive mobile et PC."
"OK","OK_KEEP_CURRENT","mannequins-bustes","mannequins-bustes","Mannequins & bustes","true","","mannequins-bustes.webp","/uploads/category-images/mannequins-bustes.webp","present_valid_webp_signature","53220","960","640","","mannequins-bustes-rayon.webp","/uploads/category-images/mannequins-bustes-rayon.webp","false","","conserver l'image actuelle","","Version rayon Maxi Trouvailles: image realiste, moderne et claire. Signal visuel: mannequins vitrine et bustes de presentation vetements. Style premium leger, lumineux, responsive mobile et PC."
"OK","OK_KEEP_CURRENT","mobilier-professionnel","mobilier-professionnel","Mobilier professionnel","true","","mobilier-professionnel.webp","/uploads/category-images/mobilier-professionnel.webp","present_valid_webp_signature","51848","960","640","","mobilier-professionnel-rayon.webp","/uploads/category-images/mobilier-professionnel-rayon.webp","false","","conserver l'image actuelle","","Version rayon Maxi Trouvailles: image realiste, moderne et claire. Signal visuel: bureau pro, etageres et mobilier commerce ou entrepot. Style premium leger, lumineux, responsive mobile et PC."
"OK","OK_KEEP_CURRENT","outillage","outillage","Outillage","true","","outillage.webp","/uploads/category-images/outillage.webp","present_valid_webp_signature","83368","960","640","","outillage-rayon.webp","/uploads/category-images/outillage-rayon.webp","false","","conserver l'image actuelle","","Version rayon Maxi Trouvailles: image realiste, moderne et claire. Signal visuel: perceuse, outils, caisse a outils et bricolage propre. Style premium leger, lumineux, responsive mobile et PC."
"OK","OK_KEEP_CURRENT","presentoirs","presentoirs","Présentoirs","true","","presentoirs.webp","/uploads/category-images/presentoirs.webp","present_valid_webp_signature","78024","960","640","","presentoirs-rayon.webp","/uploads/category-images/presentoirs-rayon.webp","false","","conserver l'image actuelle","","Version rayon Maxi Trouvailles: image realiste, moderne et claire. Signal visuel: rayonnages et presentoirs magasin avec mise en avant produits. Style premium leger, lumineux, responsive mobile et PC."
"OK","OK_KEEP_CURRENT","puericulture","puericulture","Puériculture","true","","puericulture.webp","/uploads/category-images/puericulture.webp","present_valid_webp_signature","85190","960","640","","puericulture-rayon.webp","/uploads/category-images/puericulture-rayon.webp","false","","conserver l'image actuelle","","Version rayon Maxi Trouvailles: image realiste, moderne et claire. Signal visuel: bebe, poussette, jouets bebe, siege auto et biberons. Style premium leger, lumineux, responsive mobile et PC."
"OK","OK_KEEP_CURRENT","sport-loisirs","sport-loisirs","Sport & loisirs","true","","sport-loisirs.webp","/uploads/category-images/sport-loisirs.webp","present_valid_webp_signature","108466","960","640","","sport-loisirs-rayon.webp","/uploads/category-images/sport-loisirs-rayon.webp","false","","conserver l'image actuelle","","Version rayon Maxi Trouvailles: image realiste, moderne et claire. Signal visuel: tennis, velo, ballon, fitness et activite exterieure. Style premium leger, lumineux, responsive mobile et PC."
"OK","OK_KEEP_CURRENT","telephonie","telephonie","Téléphonie","true","","telephonie.webp","/uploads/category-images/telephonie.webp","present_valid_webp_signature","65644","960","640","","telephonie-rayon.webp","/uploads/category-images/telephonie-rayon.webp","false","","conserver l'image actuelle","","Version rayon Maxi Trouvailles: image realiste, moderne et claire. Signal visuel: smartphones, accessoires telephone et ecouteurs. Style premium leger, lumineux, responsive mobile et PC."
