action_order;batch_id;product_rank;product_id;product_name;category_id;action_type;label;status;next_action;admin_href;target_path;reject_if
252;lot-01;2;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;image;Image detail exacte;TO_DEPOSIT_HOLD;Deposer WebP exact: boite-a-the-compartiments-bambou-partenaire-hold-detail-1.webp;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_boite-a-the-compartiments-bambou#next-wave-sourcing;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/boite-a-the-compartiments-bambou-partenaire-hold/boite-a-the-compartiments-bambou-partenaire-hold-detail-1.webp;Refuser si l'image ne montre pas exactement la variante vendue ou si les droits image ne sont pas confirmes.
253;lot-01;2;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;image;Image variante exacte;TO_DEPOSIT_HOLD;Deposer WebP exact: boite-a-the-compartiments-bambou-partenaire-hold-variant.webp;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_boite-a-the-compartiments-bambou#next-wave-sourcing;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/boite-a-the-compartiments-bambou-partenaire-hold/boite-a-the-compartiments-bambou-partenaire-hold-variant.webp;Refuser si l'image ne montre pas exactement la variante vendue ou si les droits image ne sont pas confirmes.
301;lot-01;3;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;dropshipping-auto-moto;proof;Reference produit exacte;TO_FILL_HOLD;Remplir preuve interne: Reference produit exacte;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_organisateur-coffre-voiture-pliable#next-wave-sourcing;business-maxi-trouvailles/preuves-internes/integration-articles/20260613/organisateur-coffre-voiture-pliable-partenaire-hold/exact_product_reference.md;Refuser si la fiche ne montre pas exactement le meme article.
302;lot-01;3;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;dropshipping-auto-moto;proof;Nom vendeur ou partenaire;TO_FILL_HOLD;Remplir preuve interne: Nom vendeur ou partenaire;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_organisateur-coffre-voiture-pliable#next-wave-sourcing;business-maxi-trouvailles/preuves-internes/integration-articles/20260613/organisateur-coffre-voiture-pliable-partenaire-hold/partner_name.md;Refuser si le partenaire n'est pas identifiable.
303;lot-01;3;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;dropshipping-auto-moto;proof;SKU/reference fournisseur;TO_FILL_HOLD;Remplir preuve interne: SKU/reference fournisseur;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_organisateur-coffre-voiture-pliable#next-wave-sourcing;business-maxi-trouvailles/preuves-internes/integration-articles/20260613/organisateur-coffre-voiture-pliable-partenaire-hold/supplier_sku.md;Refuser si la reference ne correspond pas a la variante cible.
304;lot-01;3;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;dropshipping-auto-moto;proof;Variante exacte vendue;TO_FILL_HOLD;Remplir preuve interne: Variante exacte vendue;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_organisateur-coffre-voiture-pliable#next-wave-sourcing;business-maxi-trouvailles/preuves-internes/integration-articles/20260613/organisateur-coffre-voiture-pliable-partenaire-hold/exact_variant.md;Refuser si la variante est ambigue ou differente.
305;lot-01;3;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;dropshipping-auto-moto;proof;Prix fournisseur reel en centimes;TO_FILL_HOLD;Remplir preuve interne: Prix fournisseur reel en centimes;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_organisateur-coffre-voiture-pliable#next-wave-sourcing;business-maxi-trouvailles/preuves-internes/integration-articles/20260613/organisateur-coffre-voiture-pliable-partenaire-hold/real_supplier_price_cents.md;"Refuser si le cout est estime, incomplet ou non relie a la variante."
351;lot-01;3;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;dropshipping-auto-moto;image;Image principale exacte;TO_DEPOSIT_HOLD;Deposer WebP exact: organisateur-coffre-voiture-pliable-partenaire-hold-main.webp;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_organisateur-coffre-voiture-pliable#next-wave-sourcing;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/organisateur-coffre-voiture-pliable-partenaire-hold/organisateur-coffre-voiture-pliable-partenaire-hold-main.webp;Refuser si l'image ne montre pas exactement la variante vendue ou si les droits image ne sont pas confirmes.
352;lot-01;3;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;dropshipping-auto-moto;image;Image detail exacte;TO_DEPOSIT_HOLD;Deposer WebP exact: organisateur-coffre-voiture-pliable-partenaire-hold-detail-1.webp;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_organisateur-coffre-voiture-pliable#next-wave-sourcing;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/organisateur-coffre-voiture-pliable-partenaire-hold/organisateur-coffre-voiture-pliable-partenaire-hold-detail-1.webp;Refuser si l'image ne montre pas exactement la variante vendue ou si les droits image ne sont pas confirmes.
353;lot-01;3;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;dropshipping-auto-moto;image;Image variante exacte;TO_DEPOSIT_HOLD;Deposer WebP exact: organisateur-coffre-voiture-pliable-partenaire-hold-variant.webp;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_organisateur-coffre-voiture-pliable#next-wave-sourcing;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/organisateur-coffre-voiture-pliable-partenaire-hold/organisateur-coffre-voiture-pliable-partenaire-hold-variant.webp;Refuser si l'image ne montre pas exactement la variante vendue ou si les droits image ne sont pas confirmes.
401;lot-01;4;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;dropshipping-cuisine;proof;Reference produit exacte;TO_FILL_HOLD;Remplir preuve interne: Reference produit exacte;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_organisateur-tiroir-cuisine-extensible#next-wave-sourcing;business-maxi-trouvailles/preuves-internes/integration-articles/20260613/organisateur-tiroir-cuisine-extensible-partenaire-hold/exact_product_reference.md;Refuser si la fiche ne montre pas exactement le meme article.
402;lot-01;4;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;dropshipping-cuisine;proof;Nom vendeur ou partenaire;TO_FILL_HOLD;Remplir preuve interne: Nom vendeur ou partenaire;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_organisateur-tiroir-cuisine-extensible#next-wave-sourcing;business-maxi-trouvailles/preuves-internes/integration-articles/20260613/organisateur-tiroir-cuisine-extensible-partenaire-hold/partner_name.md;Refuser si le partenaire n'est pas identifiable.
403;lot-01;4;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;dropshipping-cuisine;proof;SKU/reference fournisseur;TO_FILL_HOLD;Remplir preuve interne: SKU/reference fournisseur;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_organisateur-tiroir-cuisine-extensible#next-wave-sourcing;business-maxi-trouvailles/preuves-internes/integration-articles/20260613/organisateur-tiroir-cuisine-extensible-partenaire-hold/supplier_sku.md;Refuser si la reference ne correspond pas a la variante cible.
404;lot-01;4;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;dropshipping-cuisine;proof;Variante exacte vendue;TO_FILL_HOLD;Remplir preuve interne: Variante exacte vendue;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_organisateur-tiroir-cuisine-extensible#next-wave-sourcing;business-maxi-trouvailles/preuves-internes/integration-articles/20260613/organisateur-tiroir-cuisine-extensible-partenaire-hold/exact_variant.md;Refuser si la variante est ambigue ou differente.
405;lot-01;4;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;dropshipping-cuisine;proof;Prix fournisseur reel en centimes;TO_FILL_HOLD;Remplir preuve interne: Prix fournisseur reel en centimes;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_organisateur-tiroir-cuisine-extensible#next-wave-sourcing;business-maxi-trouvailles/preuves-internes/integration-articles/20260613/organisateur-tiroir-cuisine-extensible-partenaire-hold/real_supplier_price_cents.md;"Refuser si le cout est estime, incomplet ou non relie a la variante."
451;lot-01;4;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;dropshipping-cuisine;image;Image principale exacte;TO_DEPOSIT_HOLD;Deposer WebP exact: organisateur-tiroir-cuisine-extensible-partenaire-hold-main.webp;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_organisateur-tiroir-cuisine-extensible#next-wave-sourcing;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/organisateur-tiroir-cuisine-extensible-partenaire-hold/organisateur-tiroir-cuisine-extensible-partenaire-hold-main.webp;Refuser si l'image ne montre pas exactement la variante vendue ou si les droits image ne sont pas confirmes.
452;lot-01;4;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;dropshipping-cuisine;image;Image detail exacte;TO_DEPOSIT_HOLD;Deposer WebP exact: organisateur-tiroir-cuisine-extensible-partenaire-hold-detail-1.webp;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_organisateur-tiroir-cuisine-extensible#next-wave-sourcing;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/organisateur-tiroir-cuisine-extensible-partenaire-hold/organisateur-tiroir-cuisine-extensible-partenaire-hold-detail-1.webp;Refuser si l'image ne montre pas exactement la variante vendue ou si les droits image ne sont pas confirmes.
453;lot-01;4;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;dropshipping-cuisine;image;Image variante exacte;TO_DEPOSIT_HOLD;Deposer WebP exact: organisateur-tiroir-cuisine-extensible-partenaire-hold-variant.webp;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_organisateur-tiroir-cuisine-extensible#next-wave-sourcing;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/organisateur-tiroir-cuisine-extensible-partenaire-hold/organisateur-tiroir-cuisine-extensible-partenaire-hold-variant.webp;Refuser si l'image ne montre pas exactement la variante vendue ou si les droits image ne sont pas confirmes.
