step_order;top3_rank;product_id;product_name;category_id;step_type;zone;label;expected_file_name;status;admin_href;next_action;expected_result;rejection_risk
11;2;integration_articles_20260612_cable-organizer-boite-multiprise;Cache multiprise boite rangement cables;dropshipping-accessoires;proof;Reference produit;SKU/reference fournisseur;;TO_DO_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_cable-organizer-boite-multiprise#top3-proof-11;"Remplir la preuve manuelle, confirmer meme article, puis garder HOLD.";Reference produit partenaire verifiee et rattachee au meme article.;Refuser si la reference ne correspond pas a la variante vendue.
12;2;integration_articles_20260612_cable-organizer-boite-multiprise;Cache multiprise boite rangement cables;dropshipping-accessoires;proof;Variante;Variante exacte vendue;;TO_DO_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_cable-organizer-boite-multiprise#top3-proof-12;"Remplir la preuve manuelle, confirmer meme article, puis garder HOLD.";"Variante cible confirmee pour eviter tout ecart de couleur, taille ou lot.";Refuser si la variante est ambigue ou differente.
13;2;integration_articles_20260612_cable-organizer-boite-multiprise;Cache multiprise boite rangement cables;dropshipping-accessoires;proof;Prix et marge;Prix fournisseur reel en centimes;;TO_DO_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_cable-organizer-boite-multiprise#top3-proof-13;"Remplir la preuve manuelle, confirmer meme article, puis garder HOLD.";Cout reel saisi en interne pour calcul marge et prix cible avant revue.;Refuser si le cout est estime ou incomplet.
14;2;integration_articles_20260612_cable-organizer-boite-multiprise;Cache multiprise boite rangement cables;dropshipping-accessoires;image;Images exactes et droits;WebP main - cache-multiprise-boite-rangement-cables-partenaire-hold-main.webp;cache-multiprise-boite-rangement-cables-partenaire-hold-main.webp;TO_DO_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_cable-organizer-boite-multiprise#top3-image-14;"Deposer le WebP exact local, verifier droits et variante, puis garder HOLD.";"Fichier WebP exact depose dans le dossier local prepare, avec droits et variante confirmes.";"Refuser si l'image est approximative, generique, mauvaise variante ou sans droits."
15;2;integration_articles_20260612_cable-organizer-boite-multiprise;Cache multiprise boite rangement cables;dropshipping-accessoires;image;Images exactes et droits;WebP detail - cache-multiprise-boite-rangement-cables-partenaire-hold-detail-1.webp;cache-multiprise-boite-rangement-cables-partenaire-hold-detail-1.webp;TO_DO_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_cable-organizer-boite-multiprise#top3-image-15;"Deposer le WebP exact local, verifier droits et variante, puis garder HOLD.";"Fichier WebP exact depose dans le dossier local prepare, avec droits et variante confirmes.";"Refuser si l'image est approximative, generique, mauvaise variante ou sans droits."
16;2;integration_articles_20260612_cable-organizer-boite-multiprise;Cache multiprise boite rangement cables;dropshipping-accessoires;image;Images exactes et droits;WebP variant - cache-multiprise-boite-rangement-cables-partenaire-hold-variant.webp;cache-multiprise-boite-rangement-cables-partenaire-hold-variant.webp;TO_DO_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_cable-organizer-boite-multiprise#top3-image-16;"Deposer le WebP exact local, verifier droits et variante, puis garder HOLD.";"Fichier WebP exact depose dans le dossier local prepare, avec droits et variante confirmes.";"Refuser si l'image est approximative, generique, mauvaise variante ou sans droits."
17;3;integration_articles_20260612_trousse-toilette-suspendue-voyage;Trousse toilette suspendue voyage;dropshipping-accessoires;proof;Source produit exacte;URL produit exacte;;TO_DO_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_trousse-toilette-suspendue-voyage#top3-proof-17;"Remplir la preuve manuelle, confirmer meme article, puis garder HOLD.";"Reference produit exacte renseignee dans l'atelier interne, non exportee au client.";Refuser si la page ne montre pas exactement le meme article.
18;3;integration_articles_20260612_trousse-toilette-suspendue-voyage;Trousse toilette suspendue voyage;dropshipping-accessoires;proof;Partenaire logistique;Nom vendeur ou partenaire;;TO_DO_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_trousse-toilette-suspendue-voyage#top3-proof-18;"Remplir la preuve manuelle, confirmer meme article, puis garder HOLD.";"Nom du partenaire renseigne dans la preuve interne, garde hors surface publique.";Refuser si le partenaire n'est pas identifiable.
19;3;integration_articles_20260612_trousse-toilette-suspendue-voyage;Trousse toilette suspendue voyage;dropshipping-accessoires;proof;Reference produit;SKU/reference fournisseur;;TO_DO_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_trousse-toilette-suspendue-voyage#top3-proof-19;"Remplir la preuve manuelle, confirmer meme article, puis garder HOLD.";Reference produit partenaire verifiee et rattachee au meme article.;Refuser si la reference ne correspond pas a la variante vendue.
20;3;integration_articles_20260612_trousse-toilette-suspendue-voyage;Trousse toilette suspendue voyage;dropshipping-accessoires;proof;Variante;Variante exacte vendue;;TO_DO_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_trousse-toilette-suspendue-voyage#top3-proof-20;"Remplir la preuve manuelle, confirmer meme article, puis garder HOLD.";"Variante cible confirmee pour eviter tout ecart de couleur, taille ou lot.";Refuser si la variante est ambigue ou differente.
21;3;integration_articles_20260612_trousse-toilette-suspendue-voyage;Trousse toilette suspendue voyage;dropshipping-accessoires;proof;Prix et marge;Prix fournisseur reel en centimes;;TO_DO_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_trousse-toilette-suspendue-voyage#top3-proof-21;"Remplir la preuve manuelle, confirmer meme article, puis garder HOLD.";Cout reel saisi en interne pour calcul marge et prix cible avant revue.;Refuser si le cout est estime ou incomplet.
22;3;integration_articles_20260612_trousse-toilette-suspendue-voyage;Trousse toilette suspendue voyage;dropshipping-accessoires;image;Images exactes et droits;WebP main - trousse-toilette-suspendue-voyage-partenaire-hold-main.webp;trousse-toilette-suspendue-voyage-partenaire-hold-main.webp;TO_DO_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_trousse-toilette-suspendue-voyage#top3-image-22;"Deposer le WebP exact local, verifier droits et variante, puis garder HOLD.";"Fichier WebP exact depose dans le dossier local prepare, avec droits et variante confirmes.";"Refuser si l'image est approximative, generique, mauvaise variante ou sans droits."
23;3;integration_articles_20260612_trousse-toilette-suspendue-voyage;Trousse toilette suspendue voyage;dropshipping-accessoires;image;Images exactes et droits;WebP detail - trousse-toilette-suspendue-voyage-partenaire-hold-detail-1.webp;trousse-toilette-suspendue-voyage-partenaire-hold-detail-1.webp;TO_DO_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_trousse-toilette-suspendue-voyage#top3-image-23;"Deposer le WebP exact local, verifier droits et variante, puis garder HOLD.";"Fichier WebP exact depose dans le dossier local prepare, avec droits et variante confirmes.";"Refuser si l'image est approximative, generique, mauvaise variante ou sans droits."
24;3;integration_articles_20260612_trousse-toilette-suspendue-voyage;Trousse toilette suspendue voyage;dropshipping-accessoires;image;Images exactes et droits;WebP variant - trousse-toilette-suspendue-voyage-partenaire-hold-variant.webp;trousse-toilette-suspendue-voyage-partenaire-hold-variant.webp;TO_DO_HOLD;/admin/preuves-partenaires?status=hold&q=integration_articles_20260612_trousse-toilette-suspendue-voyage#top3-image-24;"Deposer le WebP exact local, verifier droits et variante, puis garder HOLD.";"Fichier WebP exact depose dans le dossier local prepare, avec droits et variante confirmes.";"Refuser si l'image est approximative, generique, mauvaise variante ou sans droits."
