batch_id;batch_number;product_rank;product_id;product_name;category_id;task_type;task_order;label;status;local_target;expected_action
lot-02;2;7;integration_articles_20260612_boite-rangement-medicaments-vide;Boite rangement medicaments vide;dropshipping-maison;proof;5;Prix fournisseur reel en centimes;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
lot-02;2;7;integration_articles_20260612_boite-rangement-medicaments-vide;Boite rangement medicaments vide;dropshipping-maison;webp;1;boite-rangement-medicaments-vide-partenaire-hold-main.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/boite-rangement-medicaments-vide-partenaire-hold/boite-rangement-medicaments-vide-partenaire-hold-main.webp;deposer uniquement un WebP exact local apres preuve
lot-02;2;7;integration_articles_20260612_boite-rangement-medicaments-vide;Boite rangement medicaments vide;dropshipping-maison;webp;2;boite-rangement-medicaments-vide-partenaire-hold-detail-1.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/boite-rangement-medicaments-vide-partenaire-hold/boite-rangement-medicaments-vide-partenaire-hold-detail-1.webp;deposer uniquement un WebP exact local apres preuve
lot-02;2;7;integration_articles_20260612_boite-rangement-medicaments-vide;Boite rangement medicaments vide;dropshipping-maison;webp;3;boite-rangement-medicaments-vide-partenaire-hold-variant.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/boite-rangement-medicaments-vide-partenaire-hold/boite-rangement-medicaments-vide-partenaire-hold-variant.webp;deposer uniquement un WebP exact local apres preuve
lot-02;2;8;integration_articles_20260612_pochette-cable-voyage-electronique;Pochette cable voyage electronique;dropshipping-accessoires;proof;1;Reference produit exacte;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
lot-02;2;8;integration_articles_20260612_pochette-cable-voyage-electronique;Pochette cable voyage electronique;dropshipping-accessoires;proof;2;Nom vendeur ou partenaire;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
lot-02;2;8;integration_articles_20260612_pochette-cable-voyage-electronique;Pochette cable voyage electronique;dropshipping-accessoires;proof;3;SKU/reference fournisseur;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
lot-02;2;8;integration_articles_20260612_pochette-cable-voyage-electronique;Pochette cable voyage electronique;dropshipping-accessoires;proof;4;Variante exacte vendue;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
lot-02;2;8;integration_articles_20260612_pochette-cable-voyage-electronique;Pochette cable voyage electronique;dropshipping-accessoires;proof;5;Prix fournisseur reel en centimes;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
lot-02;2;8;integration_articles_20260612_pochette-cable-voyage-electronique;Pochette cable voyage electronique;dropshipping-accessoires;webp;1;pochette-cable-voyage-electronique-partenaire-hold-main.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/pochette-cable-voyage-electronique-partenaire-hold/pochette-cable-voyage-electronique-partenaire-hold-main.webp;deposer uniquement un WebP exact local apres preuve
lot-02;2;8;integration_articles_20260612_pochette-cable-voyage-electronique;Pochette cable voyage electronique;dropshipping-accessoires;webp;2;pochette-cable-voyage-electronique-partenaire-hold-detail-1.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/pochette-cable-voyage-electronique-partenaire-hold/pochette-cable-voyage-electronique-partenaire-hold-detail-1.webp;deposer uniquement un WebP exact local apres preuve
lot-02;2;8;integration_articles_20260612_pochette-cable-voyage-electronique;Pochette cable voyage electronique;dropshipping-accessoires;webp;3;pochette-cable-voyage-electronique-partenaire-hold-variant.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/pochette-cable-voyage-electronique-partenaire-hold/pochette-cable-voyage-electronique-partenaire-hold-variant.webp;deposer uniquement un WebP exact local apres preuve
lot-03;3;9;integration_articles_20260612_tapis-souris-ergonomique-repose-poignet;Tapis souris ergonomique repose poignet;dropshipping-accessoires;proof;1;Reference produit exacte;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
lot-03;3;9;integration_articles_20260612_tapis-souris-ergonomique-repose-poignet;Tapis souris ergonomique repose poignet;dropshipping-accessoires;proof;2;Nom vendeur ou partenaire;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
lot-03;3;9;integration_articles_20260612_tapis-souris-ergonomique-repose-poignet;Tapis souris ergonomique repose poignet;dropshipping-accessoires;proof;3;SKU/reference fournisseur;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
lot-03;3;9;integration_articles_20260612_tapis-souris-ergonomique-repose-poignet;Tapis souris ergonomique repose poignet;dropshipping-accessoires;proof;4;Variante exacte vendue;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
lot-03;3;9;integration_articles_20260612_tapis-souris-ergonomique-repose-poignet;Tapis souris ergonomique repose poignet;dropshipping-accessoires;proof;5;Prix fournisseur reel en centimes;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
lot-03;3;9;integration_articles_20260612_tapis-souris-ergonomique-repose-poignet;Tapis souris ergonomique repose poignet;dropshipping-accessoires;webp;1;tapis-souris-ergonomique-repose-poignet-partenaire-hold-main.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/tapis-souris-ergonomique-repose-poignet-partenaire-hold/tapis-souris-ergonomique-repose-poignet-partenaire-hold-main.webp;deposer uniquement un WebP exact local apres preuve
lot-03;3;9;integration_articles_20260612_tapis-souris-ergonomique-repose-poignet;Tapis souris ergonomique repose poignet;dropshipping-accessoires;webp;2;tapis-souris-ergonomique-repose-poignet-partenaire-hold-detail-1.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/tapis-souris-ergonomique-repose-poignet-partenaire-hold/tapis-souris-ergonomique-repose-poignet-partenaire-hold-detail-1.webp;deposer uniquement un WebP exact local apres preuve
lot-03;3;9;integration_articles_20260612_tapis-souris-ergonomique-repose-poignet;Tapis souris ergonomique repose poignet;dropshipping-accessoires;webp;3;tapis-souris-ergonomique-repose-poignet-partenaire-hold-variant.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/tapis-souris-ergonomique-repose-poignet-partenaire-hold/tapis-souris-ergonomique-repose-poignet-partenaire-hold-variant.webp;deposer uniquement un WebP exact local apres preuve
lot-03;3;10;integration_articles_20260612_trousse-premiers-soins-vide-voyage;Trousse premiers soins vide voyage;dropshipping-accessoires;proof;1;Reference produit exacte;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
lot-03;3;10;integration_articles_20260612_trousse-premiers-soins-vide-voyage;Trousse premiers soins vide voyage;dropshipping-accessoires;proof;2;Nom vendeur ou partenaire;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
lot-03;3;10;integration_articles_20260612_trousse-premiers-soins-vide-voyage;Trousse premiers soins vide voyage;dropshipping-accessoires;proof;3;SKU/reference fournisseur;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
lot-03;3;10;integration_articles_20260612_trousse-premiers-soins-vide-voyage;Trousse premiers soins vide voyage;dropshipping-accessoires;proof;4;Variante exacte vendue;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
lot-03;3;10;integration_articles_20260612_trousse-premiers-soins-vide-voyage;Trousse premiers soins vide voyage;dropshipping-accessoires;proof;5;Prix fournisseur reel en centimes;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
lot-03;3;10;integration_articles_20260612_trousse-premiers-soins-vide-voyage;Trousse premiers soins vide voyage;dropshipping-accessoires;webp;1;trousse-premiers-soins-vide-voyage-partenaire-hold-main.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/trousse-premiers-soins-vide-voyage-partenaire-hold/trousse-premiers-soins-vide-voyage-partenaire-hold-main.webp;deposer uniquement un WebP exact local apres preuve
lot-03;3;10;integration_articles_20260612_trousse-premiers-soins-vide-voyage;Trousse premiers soins vide voyage;dropshipping-accessoires;webp;2;trousse-premiers-soins-vide-voyage-partenaire-hold-detail-1.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/trousse-premiers-soins-vide-voyage-partenaire-hold/trousse-premiers-soins-vide-voyage-partenaire-hold-detail-1.webp;deposer uniquement un WebP exact local apres preuve
lot-03;3;10;integration_articles_20260612_trousse-premiers-soins-vide-voyage;Trousse premiers soins vide voyage;dropshipping-accessoires;webp;3;trousse-premiers-soins-vide-voyage-partenaire-hold-variant.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/trousse-premiers-soins-vide-voyage-partenaire-hold/trousse-premiers-soins-vide-voyage-partenaire-hold-variant.webp;deposer uniquement un WebP exact local apres preuve
lot-03;3;11;integration_articles_20260612_gourde-chien-voyage-anti-fuite;Gourde chien voyage anti fuite;dropshipping-animaux;proof;1;Reference produit exacte;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
lot-03;3;11;integration_articles_20260612_gourde-chien-voyage-anti-fuite;Gourde chien voyage anti fuite;dropshipping-animaux;proof;2;Nom vendeur ou partenaire;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
lot-03;3;11;integration_articles_20260612_gourde-chien-voyage-anti-fuite;Gourde chien voyage anti fuite;dropshipping-animaux;proof;3;SKU/reference fournisseur;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
lot-03;3;11;integration_articles_20260612_gourde-chien-voyage-anti-fuite;Gourde chien voyage anti fuite;dropshipping-animaux;proof;4;Variante exacte vendue;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
lot-03;3;11;integration_articles_20260612_gourde-chien-voyage-anti-fuite;Gourde chien voyage anti fuite;dropshipping-animaux;proof;5;Prix fournisseur reel en centimes;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
lot-03;3;11;integration_articles_20260612_gourde-chien-voyage-anti-fuite;Gourde chien voyage anti fuite;dropshipping-animaux;webp;1;gourde-chien-voyage-anti-fuite-partenaire-hold-main.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/gourde-chien-voyage-anti-fuite-partenaire-hold/gourde-chien-voyage-anti-fuite-partenaire-hold-main.webp;deposer uniquement un WebP exact local apres preuve
lot-03;3;11;integration_articles_20260612_gourde-chien-voyage-anti-fuite;Gourde chien voyage anti fuite;dropshipping-animaux;webp;2;gourde-chien-voyage-anti-fuite-partenaire-hold-detail-1.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/gourde-chien-voyage-anti-fuite-partenaire-hold/gourde-chien-voyage-anti-fuite-partenaire-hold-detail-1.webp;deposer uniquement un WebP exact local apres preuve
lot-03;3;11;integration_articles_20260612_gourde-chien-voyage-anti-fuite;Gourde chien voyage anti fuite;dropshipping-animaux;webp;3;gourde-chien-voyage-anti-fuite-partenaire-hold-variant.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/gourde-chien-voyage-anti-fuite-partenaire-hold/gourde-chien-voyage-anti-fuite-partenaire-hold-variant.webp;deposer uniquement un WebP exact local apres preuve
lot-03;3;12;integration_articles_20260612_lampe-led-placard-rechargeable;Lampe LED placard rechargeable;dropshipping-maison;proof;1;Reference produit exacte;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
lot-03;3;12;integration_articles_20260612_lampe-led-placard-rechargeable;Lampe LED placard rechargeable;dropshipping-maison;proof;2;Nom vendeur ou partenaire;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
lot-03;3;12;integration_articles_20260612_lampe-led-placard-rechargeable;Lampe LED placard rechargeable;dropshipping-maison;proof;3;SKU/reference fournisseur;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
lot-03;3;12;integration_articles_20260612_lampe-led-placard-rechargeable;Lampe LED placard rechargeable;dropshipping-maison;proof;4;Variante exacte vendue;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
lot-03;3;12;integration_articles_20260612_lampe-led-placard-rechargeable;Lampe LED placard rechargeable;dropshipping-maison;proof;5;Prix fournisseur reel en centimes;TO_PREPARE_HOLD;;preparer preuve interne locale sans valeur fournisseur visible client
lot-03;3;12;integration_articles_20260612_lampe-led-placard-rechargeable;Lampe LED placard rechargeable;dropshipping-maison;webp;1;lampe-led-placard-rechargeable-partenaire-hold-main.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/lampe-led-placard-rechargeable-partenaire-hold/lampe-led-placard-rechargeable-partenaire-hold-main.webp;deposer uniquement un WebP exact local apres preuve
lot-03;3;12;integration_articles_20260612_lampe-led-placard-rechargeable;Lampe LED placard rechargeable;dropshipping-maison;webp;2;lampe-led-placard-rechargeable-partenaire-hold-detail-1.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/lampe-led-placard-rechargeable-partenaire-hold/lampe-led-placard-rechargeable-partenaire-hold-detail-1.webp;deposer uniquement un WebP exact local apres preuve
lot-03;3;12;integration_articles_20260612_lampe-led-placard-rechargeable;Lampe LED placard rechargeable;dropshipping-maison;webp;3;lampe-led-placard-rechargeable-partenaire-hold-variant.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260613/lampe-led-placard-rechargeable-partenaire-hold/lampe-led-placard-rechargeable-partenaire-hold-variant.webp;deposer uniquement un WebP exact local apres preuve
