priority;product_id;product_name;category_id;file_name;role;deposit_path;expected;status
4;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;etagere-douche-angle-adhesive-partenaire-hold-detail-1.webp;detail;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\etagere-douche-angle-adhesive-partenaire-hold\etagere-douche-angle-adhesive-partenaire-hold-detail-1.webp;WebP exact du produit et de la variante vendue;MISSING_HOLD
4;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;etagere-douche-angle-adhesive-partenaire-hold-variant.webp;variant;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\etagere-douche-angle-adhesive-partenaire-hold\etagere-douche-angle-adhesive-partenaire-hold-variant.webp;WebP exact du produit et de la variante vendue;MISSING_HOLD
5;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;boite-a-the-compartiments-bambou-partenaire-hold-main.webp;main;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\boite-a-the-compartiments-bambou-partenaire-hold\boite-a-the-compartiments-bambou-partenaire-hold-main.webp;WebP exact du produit et de la variante vendue;MISSING_HOLD
5;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;boite-a-the-compartiments-bambou-partenaire-hold-detail-1.webp;detail;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\boite-a-the-compartiments-bambou-partenaire-hold\boite-a-the-compartiments-bambou-partenaire-hold-detail-1.webp;WebP exact du produit et de la variante vendue;MISSING_HOLD
5;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;boite-a-the-compartiments-bambou-partenaire-hold-variant.webp;variant;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\boite-a-the-compartiments-bambou-partenaire-hold\boite-a-the-compartiments-bambou-partenaire-hold-variant.webp;WebP exact du produit et de la variante vendue;MISSING_HOLD
6;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;dropshipping-auto-moto;organisateur-coffre-voiture-pliable-partenaire-hold-main.webp;main;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\organisateur-coffre-voiture-pliable-partenaire-hold\organisateur-coffre-voiture-pliable-partenaire-hold-main.webp;WebP exact du produit et de la variante vendue;MISSING_HOLD
6;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;dropshipping-auto-moto;organisateur-coffre-voiture-pliable-partenaire-hold-detail-1.webp;detail;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\organisateur-coffre-voiture-pliable-partenaire-hold\organisateur-coffre-voiture-pliable-partenaire-hold-detail-1.webp;WebP exact du produit et de la variante vendue;MISSING_HOLD
6;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;dropshipping-auto-moto;organisateur-coffre-voiture-pliable-partenaire-hold-variant.webp;variant;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\organisateur-coffre-voiture-pliable-partenaire-hold\organisateur-coffre-voiture-pliable-partenaire-hold-variant.webp;WebP exact du produit et de la variante vendue;MISSING_HOLD
7;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;dropshipping-cuisine;organisateur-tiroir-cuisine-extensible-partenaire-hold-main.webp;main;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\organisateur-tiroir-cuisine-extensible-partenaire-hold\organisateur-tiroir-cuisine-extensible-partenaire-hold-main.webp;WebP exact du produit et de la variante vendue;MISSING_HOLD
7;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;dropshipping-cuisine;organisateur-tiroir-cuisine-extensible-partenaire-hold-detail-1.webp;detail;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\organisateur-tiroir-cuisine-extensible-partenaire-hold\organisateur-tiroir-cuisine-extensible-partenaire-hold-detail-1.webp;WebP exact du produit et de la variante vendue;MISSING_HOLD
7;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;dropshipping-cuisine;organisateur-tiroir-cuisine-extensible-partenaire-hold-variant.webp;variant;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\organisateur-tiroir-cuisine-extensible-partenaire-hold\organisateur-tiroir-cuisine-extensible-partenaire-hold-variant.webp;WebP exact du produit et de la variante vendue;MISSING_HOLD
8;integration_articles_20260612_sacs-compression-voyage-lot;Sacs compression voyage lot;dropshipping-accessoires;sacs-compression-voyage-lot-partenaire-hold-main.webp;main;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\sacs-compression-voyage-lot-partenaire-hold\sacs-compression-voyage-lot-partenaire-hold-main.webp;WebP exact du produit et de la variante vendue;MISSING_HOLD
8;integration_articles_20260612_sacs-compression-voyage-lot;Sacs compression voyage lot;dropshipping-accessoires;sacs-compression-voyage-lot-partenaire-hold-detail-1.webp;detail;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\sacs-compression-voyage-lot-partenaire-hold\sacs-compression-voyage-lot-partenaire-hold-detail-1.webp;WebP exact du produit et de la variante vendue;MISSING_HOLD
8;integration_articles_20260612_sacs-compression-voyage-lot;Sacs compression voyage lot;dropshipping-accessoires;sacs-compression-voyage-lot-partenaire-hold-variant.webp;variant;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\sacs-compression-voyage-lot-partenaire-hold\sacs-compression-voyage-lot-partenaire-hold-variant.webp;WebP exact du produit et de la variante vendue;MISSING_HOLD
9;integration_articles_20260612_sac-repas-isotherme-pliable;Sac repas isotherme pliable;dropshipping-accessoires;sac-repas-isotherme-pliable-partenaire-hold-main.webp;main;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\sac-repas-isotherme-pliable-partenaire-hold\sac-repas-isotherme-pliable-partenaire-hold-main.webp;WebP exact du produit et de la variante vendue;MISSING_HOLD
9;integration_articles_20260612_sac-repas-isotherme-pliable;Sac repas isotherme pliable;dropshipping-accessoires;sac-repas-isotherme-pliable-partenaire-hold-detail-1.webp;detail;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\sac-repas-isotherme-pliable-partenaire-hold\sac-repas-isotherme-pliable-partenaire-hold-detail-1.webp;WebP exact du produit et de la variante vendue;MISSING_HOLD
9;integration_articles_20260612_sac-repas-isotherme-pliable;Sac repas isotherme pliable;dropshipping-accessoires;sac-repas-isotherme-pliable-partenaire-hold-variant.webp;variant;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\sac-repas-isotherme-pliable-partenaire-hold\sac-repas-isotherme-pliable-partenaire-hold-variant.webp;WebP exact du produit et de la variante vendue;MISSING_HOLD
10;integration_articles_20260612_boite-rangement-medicaments-vide;Boite rangement medicaments vide;dropshipping-maison;boite-rangement-medicaments-vide-partenaire-hold-main.webp;main;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\boite-rangement-medicaments-vide-partenaire-hold\boite-rangement-medicaments-vide-partenaire-hold-main.webp;WebP exact du produit et de la variante vendue;MISSING_HOLD
10;integration_articles_20260612_boite-rangement-medicaments-vide;Boite rangement medicaments vide;dropshipping-maison;boite-rangement-medicaments-vide-partenaire-hold-detail-1.webp;detail;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\boite-rangement-medicaments-vide-partenaire-hold\boite-rangement-medicaments-vide-partenaire-hold-detail-1.webp;WebP exact du produit et de la variante vendue;MISSING_HOLD
10;integration_articles_20260612_boite-rangement-medicaments-vide;Boite rangement medicaments vide;dropshipping-maison;boite-rangement-medicaments-vide-partenaire-hold-variant.webp;variant;C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\depots-images-exactes\integration-articles\20260613\boite-rangement-medicaments-vide-partenaire-hold\boite-rangement-medicaments-vide-partenaire-hold-variant.webp;WebP exact du produit et de la variante vendue;MISSING_HOLD
