lane;priorityScore;id;name;categoryId;productStatus;holdStatus;targetSalePrice;targetMargin;packetReady;intakeStatus;evidenceFilled;validImages;proofZones;nextAction;imageDepositDir
lane_2_sourcing_prioritaire;93;integration_articles_20260612_lampe-led-placard-rechargeable;Lampe LED placard rechargeable;dropshipping-maison;draft;HOLD_INTEGRATION_ARTICLES;16.90 EUR;10.40 EUR (62%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;"Verifier dimensions, usage reel, photos exactes et delai France/Europe.";
lane_2_sourcing_prioritaire;92;integration_articles_20260612_organisateur-frigo-transparent;Organisateur frigo transparent;dropshipping-cuisine;draft;HOLD_INTEGRATION_ARTICLES;15.90 EUR;10.20 EUR (64%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;"Verifier contact matiere, dimensions exactes, quantite vendue et droits image.";
lane_2_sourcing_prioritaire;92;integration_articles_20260612_organisateur-telecommande-canape;Organisateur telecommande canape;dropshipping-maison;draft;HOLD_INTEGRATION_ARTICLES;14.90 EUR;10.20 EUR (68%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;"Verifier dimensions, usage reel, photos exactes et delai France/Europe.";
lane_2_sourcing_prioritaire;92;integration_articles_20260612_pochette-cable-voyage-electronique;Pochette cable voyage electronique;dropshipping-accessoires;draft;HOLD_INTEGRATION_ARTICLES;13.90 EUR;9.60 EUR (69%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;"Chercher fournisseur Europe/France avec lot exact, photos propres et livraison suivie.";
lane_2_sourcing_prioritaire;92;integration_articles_20260612_range-epices-adhesif-cuisine;Range epices adhesif cuisine;dropshipping-cuisine;draft;HOLD_INTEGRATION_ARTICLES;14.90 EUR;10.10 EUR (68%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;"Verifier contact matiere, dimensions exactes, quantite vendue et droits image.";
lane_2_sourcing_prioritaire;92;integration_articles_20260612_tapis-souris-ergonomique-repose-poignet;Tapis souris ergonomique repose poignet;dropshipping-accessoires;draft;HOLD_INTEGRATION_ARTICLES;12.90 EUR;9.40 EUR (73%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;"Chercher fournisseur Europe/France avec lot exact, photos propres et livraison suivie.";
lane_2_sourcing_prioritaire;92;integration_articles_20260612_trousse-premiers-soins-vide-voyage;Trousse premiers soins vide voyage;dropshipping-accessoires;draft;HOLD_INTEGRATION_ARTICLES;12.90 EUR;9.30 EUR (72%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;"Chercher fournisseur Europe/France avec lot exact, photos propres et livraison suivie.";
lane_2_sourcing_prioritaire;90;integration_articles_20260612_boite-rangement-cables-bureau;Boite rangement cables bureau;dropshipping-accessoires;draft;HOLD_INTEGRATION_ARTICLES;12.90 EUR;8.70 EUR (67%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;"Chercher fournisseur Europe/France avec lot exact, photos propres et livraison suivie.";
lane_2_sourcing_prioritaire;90;integration_articles_20260612_gourde-chien-voyage-anti-fuite;Gourde chien voyage anti fuite;dropshipping-animaux;draft;HOLD_INTEGRATION_ARTICLES;16.90 EUR;10.80 EUR (64%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;"Verifier matiere, usage animal, photos exactes et delai court.";
lane_2_sourcing_prioritaire;90;integration_articles_20260612_tapis-egouttoir-vaisselle-microfibre;Tapis egouttoir vaisselle microfibre;dropshipping-cuisine;draft;HOLD_INTEGRATION_ARTICLES;12.90 EUR;9.10 EUR (71%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;"Verifier contact matiere, dimensions exactes, quantite vendue et droits image.";
lane_2_sourcing_prioritaire;89;integration_articles_20260612_porte-brosse-a-dents-adhesif;Porte brosse a dents adhesif;dropshipping-maison;draft;HOLD_INTEGRATION_ARTICLES;11.90 EUR;8.70 EUR (73%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;"Verifier dimensions, usage reel, photos exactes et delai France/Europe.";
lane_2_sourcing_prioritaire;89;integration_articles_20260612_porte-cles-mural-adhesif;Porte cles mural adhesif;dropshipping-maison;draft;HOLD_INTEGRATION_ARTICLES;11.90 EUR;8.60 EUR (72%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;"Verifier dimensions, usage reel, photos exactes et delai France/Europe.";
lane_2_sourcing_prioritaire;88;integration_articles_20260612_brosse-bouteille-flexible;Brosse bouteille flexible;dropshipping-cuisine;draft;HOLD_INTEGRATION_ARTICLES;10.90 EUR;8.10 EUR (74%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;"Verifier contact matiere, dimensions exactes, quantite vendue et droits image.";
lane_2_sourcing_prioritaire;88;integration_articles_20260612_grattoir-vitroceramique-cuisine;Grattoir vitroceramique cuisine;dropshipping-cuisine;draft;HOLD_INTEGRATION_ARTICLES;10.90 EUR;7.80 EUR (72%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;"Verifier contact matiere, dimensions exactes, quantite vendue et droits image.";
lane_2_sourcing_prioritaire;88;integration_articles_20260612_sangle-valise-ajustable-voyage;Sangle valise ajustable voyage;dropshipping-accessoires;draft;HOLD_INTEGRATION_ARTICLES;9.90 EUR;7.60 EUR (77%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;"Chercher fournisseur Europe/France avec lot exact, photos propres et livraison suivie.";
lane_2_sourcing_prioritaire;88;integration_articles_20260612_support-casque-bureau-adhesif;Support casque bureau adhesif;dropshipping-accessoires;draft;HOLD_INTEGRATION_ARTICLES;9.90 EUR;7.40 EUR (75%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;"Chercher fournisseur Europe/France avec lot exact, photos propres et livraison suivie.";
lane_2_sourcing_prioritaire;87;integration_articles_20260612_attaches-cables-velcro-lot;Attaches cables velcro lot;dropshipping-accessoires;draft;HOLD_INTEGRATION_ARTICLES;8.90 EUR;7.10 EUR (80%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;"Chercher fournisseur Europe/France avec lot exact, photos propres et livraison suivie.";
lane_2_sourcing_prioritaire;87;integration_articles_20260612_brosse-nettoyage-joints-cuisine;Brosse nettoyage joints cuisine;dropshipping-cuisine;draft;HOLD_INTEGRATION_ARTICLES;9.90 EUR;7.30 EUR (74%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;"Verifier contact matiere, dimensions exactes, quantite vendue et droits image.";
lane_2_sourcing_prioritaire;87;integration_articles_20260612_gant-brossage-animaux-silicone;Gant brossage animaux silicone;dropshipping-animaux;draft;HOLD_INTEGRATION_ARTICLES;12.90 EUR;9.30 EUR (72%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;"Verifier matiere, usage animal, photos exactes et delai court.";
lane_2_sourcing_prioritaire;87;integration_articles_20260612_mini-balai-table-ramasse-miettes;Mini balai table ramasse miettes;dropshipping-cuisine;draft;HOLD_INTEGRATION_ARTICLES;9.90 EUR;7.50 EUR (76%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;"Verifier contact matiere, dimensions exactes, quantite vendue et droits image.";
lane_2_sourcing_prioritaire;87;integration_articles_20260612_peigne-demelage-animaux-double-face;Peigne demelage animaux double face;dropshipping-animaux;draft;HOLD_INTEGRATION_ARTICLES;13.90 EUR;9.70 EUR (70%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;"Verifier matiere, usage animal, photos exactes et delai court.";
lane_2_sourcing_prioritaire;87;integration_articles_20260612_pelle-litiere-chat-support;Pelle litiere chat avec support;dropshipping-animaux;draft;HOLD_INTEGRATION_ARTICLES;12.90 EUR;9.30 EUR (72%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;"Verifier matiere, usage animal, photos exactes et delai court.";
lane_2_sourcing_prioritaire;87;integration_articles_20260612_porte-savon-drainant-silicone;Porte savon drainant silicone;dropshipping-maison;draft;HOLD_INTEGRATION_ARTICLES;9.90 EUR;7.30 EUR (74%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;"Verifier dimensions, usage reel, photos exactes et delai France/Europe.";
lane_2_sourcing_prioritaire;87;integration_articles_20260612_sac-filet-linge-delicat-lot;Sac filet linge delicat lot;dropshipping-maison;draft;HOLD_INTEGRATION_ARTICLES;9.90 EUR;7.70 EUR (78%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;"Verifier dimensions, usage reel, photos exactes et delai France/Europe.";
lane_2_sourcing_prioritaire;86;integration_articles_20260612_coussinets-meubles-anti-rayures;Coussinets meubles anti rayures lot;dropshipping-maison;draft;HOLD_INTEGRATION_ARTICLES;8.90 EUR;7.10 EUR (80%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;"Verifier dimensions, usage reel, photos exactes et delai France/Europe.";
lane_2_sourcing_prioritaire;86;integration_articles_20260612_mini-humidificateur-usb-bureau;Mini humidificateur USB bureau;dropshipping-high-tech;draft;HOLD_INTEGRATION_ARTICLES;18.90 EUR;12.00 EUR (63%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;"Verifier batterie/norme/cable fourni, stock Europe et photos exactes.";
lane_2_sourcing_prioritaire;86;integration_articles_20260612_support-eponges-evier-ventouse;Support eponges evier ventouse;dropshipping-cuisine;draft;HOLD_INTEGRATION_ARTICLES;8.90 EUR;7.10 EUR (80%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;"Verifier contact matiere, dimensions exactes, quantite vendue et droits image.";
lane_2_sourcing_prioritaire;86;integration_articles_20260612_support-tablette-lit-canape;Support tablette lit canape;dropshipping-high-tech;draft;HOLD_INTEGRATION_ARTICLES;18.90 EUR;12.00 EUR (63%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;"Verifier batterie/norme/cable fourni, stock Europe et photos exactes.";
lane_2_sourcing_prioritaire;86;integration_articles_20260612_tapis-repas-chat-silicone;Tapis repas chat silicone;dropshipping-animaux;draft;HOLD_INTEGRATION_ARTICLES;12.90 EUR;9.00 EUR (70%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;"Verifier matiere, usage animal, photos exactes et delai court.";
lane_2_sourcing_prioritaire;85;integration_articles_20260612_bouchons-evier-silicone-lot;Bouchons evier silicone lot;dropshipping-cuisine;draft;HOLD_INTEGRATION_ARTICLES;7.90 EUR;6.30 EUR (80%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;"Verifier contact matiere, dimensions exactes, quantite vendue et droits image.";
lane_2_sourcing_prioritaire;85;integration_articles_20260612_mini-pompe-air-usb-voyage;Mini pompe air USB voyage;dropshipping-high-tech;draft;HOLD_INTEGRATION_ARTICLES;19.90 EUR;11.70 EUR (59%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;"Verifier batterie/norme/cable fourni, stock Europe et photos exactes.";
lane_2_sourcing_prioritaire;85;integration_articles_20260612_organisateur-maquillage-transparent;Organisateur maquillage transparent;dropshipping-beaute;draft;HOLD_INTEGRATION_ARTICLES;17.90 EUR;11.10 EUR (62%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;Chercher fournisseur exact et preuves completes.;
lane_2_sourcing_prioritaire;85;integration_articles_20260612_support-ordinateur-portable-pliable;Support ordinateur portable pliable;dropshipping-high-tech;draft;HOLD_INTEGRATION_ARTICLES;19.90 EUR;11.70 EUR (59%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;"Verifier batterie/norme/cable fourni, stock Europe et photos exactes.";
lane_2_sourcing_prioritaire;84;integration_articles_20260612_rouleau-adhesif-poils-animaux-lavable;Rouleau adhesif poils animaux lavable;dropshipping-animaux;draft;HOLD_INTEGRATION_ARTICLES;11.90 EUR;8.10 EUR (68%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;"Verifier matiere, usage animal, photos exactes et delai court.";
lane_2_sourcing_prioritaire;84;integration_articles_20260612_support-telephone-voiture-ventouse;Support telephone voiture ventouse;dropshipping-auto-moto;draft;HOLD_INTEGRATION_ARTICLES;14.90 EUR;9.70 EUR (65%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;"Verifier compatibilite auto, fixation exacte, stock Europe et photos variante.";
lane_2_sourcing_prioritaire;83;integration_articles_20260612_diffuseur-voiture-clip-ventilation;Diffuseur voiture clip ventilation;dropshipping-auto-moto;draft;HOLD_INTEGRATION_ARTICLES;11.90 EUR;9.10 EUR (76%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;"Verifier compatibilite auto, fixation exacte, stock Europe et photos variante.";
lane_2_sourcing_prioritaire;82;integration_articles_20260612_miroir-maquillage-led-compact;Miroir maquillage LED compact;dropshipping-beaute;draft;HOLD_INTEGRATION_ARTICLES;14.90 EUR;9.70 EUR (65%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;Chercher fournisseur exact et preuves completes.;
lane_2_sourcing_prioritaire;82;integration_articles_20260612_organisateur-sac-main-feutre;Organisateur sac a main feutre;dropshipping-mode;draft;HOLD_INTEGRATION_ARTICLES;15.90 EUR;10.70 EUR (67%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;"Verifier taille, tissu, couleur, conditionnement et photos exactes.";
lane_2_sourcing_prioritaire;80;integration_articles_20260612_sac-rangement-chaussures-voyage;Sac rangement chaussures voyage;dropshipping-mode;draft;HOLD_INTEGRATION_ARTICLES;13.90 EUR;9.60 EUR (69%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;"Verifier taille, tissu, couleur, conditionnement et photos exactes.";
lane_2_sourcing_prioritaire;79;integration_articles_20260612_brosse-ventilation-voiture;Brosse ventilation voiture;dropshipping-auto-moto;draft;HOLD_INTEGRATION_ARTICLES;8.90 EUR;7.00 EUR (79%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;"Verifier compatibilite auto, fixation exacte, stock Europe et photos variante.";
lane_2_sourcing_prioritaire;77;integration_articles_20260612_bandeau-skincare-microfibre;Bandeau skincare microfibre;dropshipping-beaute;draft;HOLD_INTEGRATION_ARTICLES;8.90 EUR;7.00 EUR (79%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;Chercher fournisseur exact et preuves completes.;
lane_2_sourcing_prioritaire;76;integration_articles_20260612_brosse-chaussures-nettoyage-3-en-1;Brosse chaussures nettoyage 3 en 1;dropshipping-mode;draft;HOLD_INTEGRATION_ARTICLES;9.90 EUR;7.50 EUR (76%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;"Verifier taille, tissu, couleur, conditionnement et photos exactes.";
lane_4_controle_securite;68;integration_articles_20260612_filet-rangement-jouets-bain-enfant;Filet rangement jouets bain enfant;dropshipping-enfant;draft;HOLD_INTEGRATION_ARTICLES;10.90 EUR;7.90 EUR (72%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;Verifier conformite/securite enfant avant toute priorisation.;
lane_4_controle_securite;67;integration_articles_20260612_protege-coins-silicone-enfant;Protege coins silicone enfant;dropshipping-enfant;draft;HOLD_INTEGRATION_ARTICLES;10.90 EUR;7.70 EUR (71%);false;WAITING_PACKET;0/10;0/0;Fournisseur / SKU|Prix / stock / marge|Images / droits|Validation Mouss;Verifier conformite/securite enfant avant toute priorisation.;
