rank;batch_id;product_id;product_name;category_id;entry_type;order;label;status;target_path;contract_path;expected_action
2;lot-01;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;proof;3;SKU/reference fournisseur;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/boite-a-the-compartiments-bambou-partenaire-hold/supplier_sku.md;;Remplir la preuve interne avec valeur locale et decision Mouss.
2;lot-01;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;proof;4;Variante exacte vendue;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/boite-a-the-compartiments-bambou-partenaire-hold/exact_variant.md;;Remplir la preuve interne avec valeur locale et decision Mouss.
2;lot-01;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;proof;5;Prix fournisseur reel en centimes;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/boite-a-the-compartiments-bambou-partenaire-hold/real_supplier_price_cents.md;;Remplir la preuve interne avec valeur locale et decision Mouss.
2;lot-01;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;webp;1;main: boite-a-the-compartiments-bambou-partenaire-hold-main.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/boite-a-the-compartiments-bambou-partenaire-hold/boite-a-the-compartiments-bambou-partenaire-hold-main.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/boite-a-the-compartiments-bambou-partenaire-hold/boite-a-the-compartiments-bambou-partenaire-hold-main.validation-contract.json;Deposer un WebP exact local puis relancer les audits.
2;lot-01;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;webp;2;detail-1: boite-a-the-compartiments-bambou-partenaire-hold-detail-1.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/boite-a-the-compartiments-bambou-partenaire-hold/boite-a-the-compartiments-bambou-partenaire-hold-detail-1.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/boite-a-the-compartiments-bambou-partenaire-hold/boite-a-the-compartiments-bambou-partenaire-hold-detail-1.validation-contract.json;Deposer un WebP exact local puis relancer les audits.
2;lot-01;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;webp;3;variant: boite-a-the-compartiments-bambou-partenaire-hold-variant.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/boite-a-the-compartiments-bambou-partenaire-hold/boite-a-the-compartiments-bambou-partenaire-hold-variant.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/boite-a-the-compartiments-bambou-partenaire-hold/boite-a-the-compartiments-bambou-partenaire-hold-variant.validation-contract.json;Deposer un WebP exact local puis relancer les audits.
3;lot-01;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;dropshipping-auto-moto;proof;1;Reference produit exacte;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/organisateur-coffre-voiture-pliable-partenaire-hold/exact_product_reference.md;;Remplir la preuve interne avec valeur locale et decision Mouss.
3;lot-01;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;dropshipping-auto-moto;proof;2;Nom vendeur ou partenaire;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/organisateur-coffre-voiture-pliable-partenaire-hold/partner_name.md;;Remplir la preuve interne avec valeur locale et decision Mouss.
3;lot-01;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;dropshipping-auto-moto;proof;3;SKU/reference fournisseur;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/organisateur-coffre-voiture-pliable-partenaire-hold/supplier_sku.md;;Remplir la preuve interne avec valeur locale et decision Mouss.
3;lot-01;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;dropshipping-auto-moto;proof;4;Variante exacte vendue;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/organisateur-coffre-voiture-pliable-partenaire-hold/exact_variant.md;;Remplir la preuve interne avec valeur locale et decision Mouss.
3;lot-01;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;dropshipping-auto-moto;proof;5;Prix fournisseur reel en centimes;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/organisateur-coffre-voiture-pliable-partenaire-hold/real_supplier_price_cents.md;;Remplir la preuve interne avec valeur locale et decision Mouss.
3;lot-01;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;dropshipping-auto-moto;webp;1;main: organisateur-coffre-voiture-pliable-partenaire-hold-main.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/organisateur-coffre-voiture-pliable-partenaire-hold/organisateur-coffre-voiture-pliable-partenaire-hold-main.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/organisateur-coffre-voiture-pliable-partenaire-hold/organisateur-coffre-voiture-pliable-partenaire-hold-main.validation-contract.json;Deposer un WebP exact local puis relancer les audits.
3;lot-01;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;dropshipping-auto-moto;webp;2;detail-1: organisateur-coffre-voiture-pliable-partenaire-hold-detail-1.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/organisateur-coffre-voiture-pliable-partenaire-hold/organisateur-coffre-voiture-pliable-partenaire-hold-detail-1.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/organisateur-coffre-voiture-pliable-partenaire-hold/organisateur-coffre-voiture-pliable-partenaire-hold-detail-1.validation-contract.json;Deposer un WebP exact local puis relancer les audits.
3;lot-01;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;dropshipping-auto-moto;webp;3;variant: organisateur-coffre-voiture-pliable-partenaire-hold-variant.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/organisateur-coffre-voiture-pliable-partenaire-hold/organisateur-coffre-voiture-pliable-partenaire-hold-variant.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/organisateur-coffre-voiture-pliable-partenaire-hold/organisateur-coffre-voiture-pliable-partenaire-hold-variant.validation-contract.json;Deposer un WebP exact local puis relancer les audits.
4;lot-01;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;dropshipping-cuisine;proof;1;Reference produit exacte;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/organisateur-tiroir-cuisine-extensible-partenaire-hold/exact_product_reference.md;;Remplir la preuve interne avec valeur locale et decision Mouss.
4;lot-01;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;dropshipping-cuisine;proof;2;Nom vendeur ou partenaire;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/organisateur-tiroir-cuisine-extensible-partenaire-hold/partner_name.md;;Remplir la preuve interne avec valeur locale et decision Mouss.
4;lot-01;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;dropshipping-cuisine;proof;3;SKU/reference fournisseur;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/organisateur-tiroir-cuisine-extensible-partenaire-hold/supplier_sku.md;;Remplir la preuve interne avec valeur locale et decision Mouss.
4;lot-01;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;dropshipping-cuisine;proof;4;Variante exacte vendue;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/organisateur-tiroir-cuisine-extensible-partenaire-hold/exact_variant.md;;Remplir la preuve interne avec valeur locale et decision Mouss.
4;lot-01;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;dropshipping-cuisine;proof;5;Prix fournisseur reel en centimes;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/organisateur-tiroir-cuisine-extensible-partenaire-hold/real_supplier_price_cents.md;;Remplir la preuve interne avec valeur locale et decision Mouss.
4;lot-01;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;dropshipping-cuisine;webp;1;main: organisateur-tiroir-cuisine-extensible-partenaire-hold-main.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/organisateur-tiroir-cuisine-extensible-partenaire-hold/organisateur-tiroir-cuisine-extensible-partenaire-hold-main.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/organisateur-tiroir-cuisine-extensible-partenaire-hold/organisateur-tiroir-cuisine-extensible-partenaire-hold-main.validation-contract.json;Deposer un WebP exact local puis relancer les audits.
4;lot-01;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;dropshipping-cuisine;webp;2;detail-1: organisateur-tiroir-cuisine-extensible-partenaire-hold-detail-1.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/organisateur-tiroir-cuisine-extensible-partenaire-hold/organisateur-tiroir-cuisine-extensible-partenaire-hold-detail-1.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/organisateur-tiroir-cuisine-extensible-partenaire-hold/organisateur-tiroir-cuisine-extensible-partenaire-hold-detail-1.validation-contract.json;Deposer un WebP exact local puis relancer les audits.
4;lot-01;integration_articles_20260612_organisateur-tiroir-cuisine-extensible;Organisateur tiroir cuisine extensible;dropshipping-cuisine;webp;3;variant: organisateur-tiroir-cuisine-extensible-partenaire-hold-variant.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/organisateur-tiroir-cuisine-extensible-partenaire-hold/organisateur-tiroir-cuisine-extensible-partenaire-hold-variant.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/organisateur-tiroir-cuisine-extensible-partenaire-hold/organisateur-tiroir-cuisine-extensible-partenaire-hold-variant.validation-contract.json;Deposer un WebP exact local puis relancer les audits.
